bandnumb,season,bqi
517,2002,.00000
1427,2005,.00000
1593,2002,.00000
1801,2006,.00000
1801,2007,.70265
2069,2003,.00000
2069,2004,-.0024
2160,2005,.00000
2160,2006,-.0889
2222,2004,.00000
2349,2002,.00000
2427,2005,.00000
2642,2006,.00000
2723,2003,.00000
2726,2005,.00000
2726,2006,-.0526
2726,2008,.37647
2762,2005,.00000
2762,2006,-.0526
2762,2007,-.1235
2762,2008,.16030
2762,2009,.04233
2762,2010,-.0121
2762,2011,-.0849
2762,2012,-.1132
2762,2013,-.1330
2863,2005,.00000
2863,2006,-.0242
2932,2007,.00000
3563,2005,.00000
3567,2006,.00000
3575,2008,.00000
3586,2005,.00000
3586,2006,-.0083
3586,2007,-.0331
3907,2006,.00000
4147,2008,.00000
4177,2009,.00000
4273,2012,.00000
4335,2010,.00000
4712,2009,.00000
4749,2010,.00000
4749,2011,-.0440
4749,2014,-.0470
4749,2015,.26492
4761,2011,.00000
4912,2011,.00000
4912,2012,-.0230
4984,2011,.00000
4984,2012,-.0230
5010,2010,.00000
5096,2010,.00000
5202,2011,.00000
5221,2012,.00000
5751,2011,.00000
5778,2012,.00000
5875,2012,.00000
5895,2011,.00000
5902,2011,.00000
5902,2012,-.0156
5902,2013,-.0300
5902,2014,-.0407
5902,2015,-.0771
6104,2014,.00000
6104,2015,-.1244
6114,2012,.00000
6445,2014,.00000
6445,2015,-.0391
6696,2014,.00000
6696,2015,-.0179
6729,2014,.00000
20128,2003,.00000
20695,2002,.00000
21032,2001,.00000
21133,2001,.00000
21300,2003,.00000
21301,2000,.00000
21301,2001,-.0063
21301,2002,-.0034
21301,2003,-.0430
21301,2004,-.0391
21301,2005,-.0836
21302,2000,.00000
21302,2001,-.0063
21302,2002,-.0034
21302,2003,-.0430
21302,2004,-.0391
21307,2000,.00000
21307,2002,-.0063
21307,2003,-.0643
21307,2004,-.0573
21310,2001,.00000
21310,2002,-.0005
21310,2003,-.0614
21310,2004,-.0500
21311,2000,.00000
21311,2001,-.0063
21311,2002,-.0034
21311,2003,-.0430
21311,2004,-.0391
21311,2005,-.1040
21316,2000,.00000
21316,2001,-.0063
21316,2002,-.0034
21316,2003,-.0430
21316,2004,-.0431
21316,2005,-.1072
21316,2006,-.1800
21316,2007,-.1203
21316,2008,-.2020
21316,2009,-.1425
21316,2010,-.1721
21324,2001,.00000
21328,2000,.00000
21328,2001,-.0063
21328,2002,-.0034
21328,2003,-.0430
21328,2004,-.0391
21328,2005,-.0836
21328,2006,-.1252
21328,2007,-.0620
21328,2008,-.1510
21328,2009,-.0972
21329,2000,.00000
21329,2001,-.0063
21329,2002,-.0034
21329,2003,-.0430
21329,2004,-.0391
21329,2005,-.0836
21330,2000,.00000
21330,2001,-.0063
21330,2002,-.0034
21346,2001,.00000
21346,2002,-.0005
21365,2000,.00000
21365,2001,-.0063
21365,2002,-.0034
21368,2000,.00000
21368,2001,-.0063
21368,2002,-.0034
21369,2000,.00000
21372,2000,.00000
21372,2001,-.0063
21372,2002,-.0034
21372,2004,-.0430
21372,2005,.15236
21372,2006,.03264
21372,2007,.06694
21372,2009,-.0532
21372,2010,-.1014
21372,2011,-.1654
21372,2012,-.2020
21373,2000,.00000
21373,2003,-.0063
21373,2005,-.0168
21373,2006,-.1223
21373,2007,-.2347
21373,2008,-.1273
21373,2009,-.2172
21379,2001,.00000
21379,2002,-.0005
21380,2000,.00000
21380,2001,-.0063
21380,2002,-.0034
21380,2003,-.0430
21380,2004,-.0431
21380,2005,-.1072
21381,2000,.00000
21381,2001,-.0063
21381,2002,-.0034
21381,2003,.29029
21381,2004,.20688
21381,2005,.29284
21381,2006,.15330
21381,2007,.16546
21381,2009,.17304
21381,2010,.21618
21381,2011,.22682
21385,2000,.00000
21385,2001,-.0063
