"","Bandnumb","BQI_A","season","lat","lon"
"1",5902,0.0307575994753439,"1718",-77.454784,169.223349
"2",22593,0.00111938267812415,"1718",-77.449179,169.222199
"3",22716,0.123373278223364,"1516",-77.453128,169.231309
"4",31087,0.437641440588966,"1718",-77.462181,169.288754
"5",31977,0.187036258517156,"1718",-77.452974,169.233216
"6",32565,0.453268181942529,"1617",-77.452258,169.233268
"7",41336,0.0336913987530621,"1617",-77.452911,169.226338
"8",41543,-0.103087252156918,"1516",-77.452617,169.235452
"9",41617,0.0896339000289118,"1516",-77.452954,169.233785
"10",41854,0.160166899173555,"1718",-77.453119,169.233295
"11",42197,0.0322878241814495,"1516",-77.457607,169.2568
"12",42317,0.0618110552601795,"1718",-77.452429,169.23179
"13",42766,0.0958928220717627,"1516",-77.452721,169.232095
"14",42853,0.0650730992991779,"1415",-77.453096,169.23202
"15",43318,0.0522002547617216,"1617",-77.453445,169.238189
"16",43522,0.0989041132288986,"1718",-77.453006,169.233399
"17",43575,0.00592208116154776,"1718",-77.452904,169.233308
"18",43655,0.0195426535527621,"1718",-77.453121,169.233752
"19",43757,0.0417543637581186,"1617",-77.452674,169.234737
"20",43907,-0.0339154771517177,"1718",-77.452901,169.234048
"21",44233,-0.146279008774765,"1415",-77.451868,169.224787
"22",44317,0.141023805624845,"1415",-77.45285,169.232381
"23",44329,-0.050803148736125,"1415",-77.452835,169.236255
"24",44352,0.00548346279862173,"1718",-77.453084,169.232296
"25",44403,-0.178679633441633,"1617",-77.453024,169.23259
"26",44436,0.0571720417249127,"1617",-77.452477,169.230543
"27",44510,0.0872750468894804,"1516",-77.45359,169.227749
"28",44554,0.264039612347547,"1718",-77.45184,169.22146
"29",44739,0.0816807821357881,"1718",-77.45247,169.23094
"30",44953,-0.0492319204124227,"1718",-77.455079,169.23583
"31",45151,0.297460467431234,"1415",-77.453363,169.23932
"32",45179,0.0839551329256563,"1617",-77.454549,169.236215
"33",45903,-0.118733892990066,"1718",-77.454035,169.237668
"34",45981,-0.0187338929900659,"1718",-77.453658,169.235186
"35",45989,0.193549323467195,"1617",-77.457568,169.24163
"36",46084,0.0430723139204047,"1617",-77.455685,169.223616
"37",46085,-0.0506447218973872,"1617",-77.452861,169.224238
"38",46133,-0.145265962246814,"1718",-77.452341,169.229529
"39",46135,0.0499599664059648,"1617",-77.456292,169.240456
"40",46146,0.305930407266304,"1415",-77.452396,169.228716
"41",46196,0.221317143461737,"1516",-77.452755,169.232176
"42",46210,0.0467688106975892,"1718",-77.452001,169.225445
"43",46226,-0.262342472654191,"1718",-77.454932,169.23182
"44",46234,0.401235735844785,"1617",-77.452612,169.233946
"45",46249,0.19263679059355,"1718",-77.453147,169.232018
"46",46279,0.264040828453862,"1718",-77.45273,169.234133
"47",46311,0.0422876299655957,"1718",-77.452927,169.233336
"48",46318,0.039150106820681,"1415",-77.454926,169.233119
"49",46324,0.00858019159934002,"1718",-77.452041,169.232161
"50",46334,-0.0987642641552151,"1617",-77.452787,169.231123
"51",46335,-0.0981575493720103,"1516",-77.453077,169.230351
"52",46404,-0.178379957481668,"1617",-77.45264,169.233466
"53",46408,-0.188481600803635,"1718",-77.4528,169.234272
"54",46435,-0.11132021144045,"1617",-77.454419,169.236278
"55",46449,0.0249942598894609,"1415",-77.45291,169.236254
"56",46478,-0.00390160765162476,"1718",-77.452823,169.234506
"57",46514,0.188533958316863,"1617",-77.452644,169.233915
"58",46536,-0.114069227883816,"1516",-77.452924,169.235772
"59",46555,0.280882266844958,"1718",-77.452691,169.233154
"60",46581,0.223151511538562,"1516",-77.452702,169.231486
"61",46599,0.0379796854494243,"1718",-77.452771,169.234563
"62",46604,0.094794542891794,"1516",-77.454081,169.238218
"63",46639,0.137432915999037,"1516",-77.451176,169.223224
"64",46640,0.151235735844785,"1617",-77.453239,169.228703
"65",46641,-0.123553942593322,"1718",-77.453572,169.22862
"66",46645,-0.120242345919566,"1617",-77.454908,169.239958
"67",46678,-0.0524510664883753,"1718",-77.452917,169.232261
"68",46680,0.0499599664059649,"1617",-77.452921,169.231585
"69",46715,-0.235810242129596,"1415",-77.453271,169.22927
"70",46746,-0.129720019116571,"1718",-77.455367,169.228012
"71",46777,0.239349422368571,"1718",-77.452307,169.229707
"72",46792,0.00593040726630353,"1415",-77.453374,169.237017
"73",46813,-0.331922825764119,"1617",-77.452524,169.235055
"74",46821,-0.276718538882554,"1617",-77.453166,169.234997
"75",46856,-0.202927489247572,"1617",-77.453771,169.236609
"76",46872,-0.0961080420801289,"1516",-77.453628,169.235497
"77",46907,-0.0759249864454458,"1718",-77.452925,169.235971
"78",46984,-0.0593671408625802,"1516",-77.455532,169.239728
"79",47010,0.105930407266304,"1415",-77.452078,169.230258
"80",47062,0.168077174235881,"1617",-77.454559,169.23807
"81",47092,-0.0154309308218818,"1617",-77.452404,169.234344
"82",47226,-0.015554506799818,"1718",-77.453342,169.229258
"83",47367,-0.0921675884816991,"1718",-77.4526,169.231892
"84",47515,0.177130383426309,"1718",-77.453213,169.234569
"85",47594,0.306540223759476,"1617",-77.453091,169.23444
"86",47679,0.147972734007582,"1617",-77.454788,169.236757
"87",47764,0.195183550474187,"1718",-77.453723,169.229094
"88",47842,0.125726569913742,"1415",-77.458116,169.247146
"89",47867,0.0104637167596423,"1718",-77.452197,169.228194
"90",47953,0.188376846152865,"1617",-77.452352,169.227214
"91",48099,0.27466150909184,"1415",-77.452225,169.232977
"92",48221,-0.251972477233792,"1718",-77.45414,169.240322
"93",48255,0.0583732964463239,"1415",-77.452519,169.231307
"94",48326,-0.0145080088600251,"1718",-77.453229,169.231138
"95",48379,-0.167300026550394,"1415",-77.453354,169.234993
"96",48391,0.000727448612559479,"1718",-77.451823,169.230246
"97",48431,0.100727448612559,"1718",-77.453068,169.229963
"98",48504,0.141092609377295,"1718",-77.45192,169.23005
"99",48613,0.256684897534341,"1415",-77.453271,169.229194
"100",48643,0.0615878704505274,"1718",-77.451729,169.227466
"101",48783,0.326274773097534,"1516",-77.451811,169.230412
"102",48803,-0.0856692931269225,"1718",-77.453998,169.225401
"103",48840,-0.118956844854754,"1718",-77.451624,169.231491
"104",48877,-0.0731608830363873,"1617",-77.451947,169.23045
"105",48878,-0.0731608830363873,"1617",-77.452299,169.22959
"106",48978,0.0888309617608958,"1718",-77.452402,169.227626
"107",49012,0.129091861116235,"1718",-77.45302,169.232338
