"","Bandnumb","BQI_A","season","lat","lon"
"1",2762,-0.262086621909024,"1314",-77.453129,169.234794
"2",5902,0.0307575994753439,"1718",-77.454784,169.223349
"3",21372,-0.151574066174106,"1213",-77.453285,169.236997
"4",22593,0.00111938267812415,"1718",-77.449179,169.222199
"5",22716,0.123373278223364,"1516",-77.453128,169.231309
"6",22885,0.104688800565798,"1314",-77.448789,169.219235
"7",31087,0.437641440588966,"1718",-77.462181,169.288754
"8",31977,0.187036258517156,"1718",-77.452974,169.233216
"9",32565,0.453268181942529,"1617",-77.452258,169.233268
"10",40225,-0.0614520315383646,"1213",-77.45236,169.234378
"11",40309,-0.190398372108479,"1213",-77.454537,169.238005
"12",40355,-0.0359344821234873,"1314",-77.453181,169.239103
"13",41254,0.105116042122977,"1213",-77.453056,169.23501
"14",41336,0.0336913987530621,"1617",-77.452911,169.226338
"15",41339,-0.0452295970548123,"1213",-77.45291,169.233291
"16",41381,-0.0234274250154428,"1314",-77.452142,169.227651
"17",41543,-0.103087252156918,"1516",-77.452617,169.235452
"18",41595,-0.148456371915226,"1314",-77.453057,169.233265
"19",41617,0.0896339000289118,"1516",-77.452954,169.233785
"20",41740,-0.146297932973822,"1314",-77.456006,169.226838
"21",41854,0.160166899173555,"1718",-77.453119,169.233295
"22",41931,0.142374824398257,"1314",-77.452914,169.234975
"23",42118,-0.217280384273763,"1314",-77.452915,169.23498
"24",42197,0.0322878241814495,"1516",-77.457607,169.2568
"25",42232,0.0557942732514603,"1213",-77.452669,169.233905
"26",42317,0.0618110552601795,"1718",-77.452429,169.23179
"27",42411,-0.202868543109289,"1213",-77.455957,169.219075
"28",42470,-0.0138674821994287,"1314",-77.452902,169.235569
"29",42622,-0.0918373795541778,"1213",-77.453046,169.234697
"30",42766,0.0958928220717627,"1516",-77.452721,169.232095
"31",42853,0.0650730992991779,"1415",-77.453096,169.23202
"32",42871,0.154649279954032,"1213",-77.44945,169.21822
"33",43210,0.2235870009932,"1314",-77.452809,169.233402
"34",43246,0.19976825542007,"1213",-77.45266,169.236131
"35",43318,0.0522002547617216,"1617",-77.453445,169.238189
"36",43349,-0.165107328377255,"1314",-77.454866,169.231923
"37",43461,0.0179500736018878,"1213",-77.45314,169.235511
"38",43499,0.108859164510979,"1213",-77.453003,169.230495
"39",43522,0.0989041132288986,"1718",-77.453006,169.233399
"40",43575,0.00592208116154776,"1718",-77.452904,169.233308
"41",43646,0.0179500736018877,"1213",-77.453063,169.233873
"42",43647,0.123901661812219,"1213",-77.453117,169.235893
"43",43655,0.0195426535527621,"1718",-77.453121,169.233752
"44",43757,0.0417543637581186,"1617",-77.452674,169.234737
"45",43774,-0.0311788249412101,"1213",-77.456241,169.221503
"46",43799,-0.0381345393647419,"1213",-77.452531,169.232127
"47",43875,0.101968562772557,"1314",-77.453501,169.237213
"48",43907,-0.0339154771517177,"1718",-77.452901,169.234048
"49",43950,-0.0381345393647419,"1213",-77.453001,169.23471
"50",43968,0.154042623519337,"1314",-77.453004,169.233648
"51",44136,-0.0264129990068001,"1314",-77.452435,169.235578
"52",44211,-0.154505628887076,"1314",-77.45283,169.231844
"53",44221,0.149629230362091,"1213",-77.45226,169.232441
"54",44233,-0.146279008774765,"1415",-77.451868,169.224787
"55",44317,0.141023805624845,"1415",-77.45285,169.232381
"56",44326,-0.0211460264994722,"1213",-77.452687,169.231805
"57",44329,-0.050803148736125,"1415",-77.452835,169.236255
"58",44352,0.00548346279862173,"1718",-77.453084,169.232296
"59",44403,-0.178679633441633,"1617",-77.453024,169.23259
"60",44436,0.0571720417249127,"1617",-77.452477,169.230543
"61",44510,0.0872750468894804,"1516",-77.45359,169.227749
"62",44554,0.264039612347547,"1718",-77.45184,169.22146
"63",44641,0.0699002347911449,"1213",-77.452375,169.234358
"64",44699,-0.0279620588836024,"1314",-77.452878,169.23587
"65",44739,0.0816807821357881,"1718",-77.45247,169.23094
"66",44747,0.200182030316609,"1213",-77.453109,169.234047
"67",44818,-0.130822142825033,"1213",-77.453031,169.235947
"68",44819,-0.230044153164777,"1314",-77.453037,169.23203
"69",44825,0.378853973500528,"1213",-77.452719,169.231876
