"","X.1","X","Bandnumb","Orig_col","Br_col","Season","Breeder","Result","Success","Area","Type","Sex","Cohort","Age","Br_exp","Device","Notes","Hatching.date","fitval","diff_success","BQI","BQI_A","season_yr","season","lat","lon"
"1",1,1,517,"ROYD","CROZ",2002,0,"NB",0,"FBCH","KA","U",1996,6,0,"","",NA,0.102596987580939,-0.102596987580939,NA,-0.102596987580939,2002,"0203",-77.45748,169.25775
"2",2,2,1427,"ROYD","CROZ",2005,0,"NB",0,"N","KA","U",1997,8,0,"","Seen breeding on Beaufort in 2008",NA,0.183818800172292,-0.183818800172292,NA,-0.183818800172292,2005,"0506",-77.451452,169.224644
"3",3,3,1593,"ROYD","CROZ",2002,1,"FAIL",0,"B","KA","U",1998,4,0,"","Only bred once at Crozier then seen at Royds and Bird",NA,0.0517304623188865,-0.0517304623188865,NA,-0.0517304623188865,2002,"0203",-77.4486,169.22059
"4",4,4,1801,"ROYD","CROZ",2006,1,"CR1",1,"QR","KA","U",1998,8,0,"","",NA,0.346560892613871,0.653439107386129,NA,0.653439107386129,2006,"0607",-77.45643,169.225878
"5",5,5,1801,"ROYD","CROZ",2007,1,"CR2?",1,"QR","KA","U",1998,9,1,"","",NA,0.602328592686366,0.397671407313634,0.653439107386129,0.525555257349882,2007,"0708",-77.45656,169.22589
"6",6,6,2069,"ROYD","CROZ",2003,0,"NB",0,"B","KA","M",1999,4,0,"","",NA,0.0124858343109613,-0.0124858343109613,NA,-0.0124858343109613,2003,"0304",-77.44927,169.21992
"7",7,7,2069,"ROYD","CROZ",2004,0,"NB",0,"HK","KA","M",1999,5,0,"","",NA,0.0741530965884092,-0.0741530965884092,-0.0124858343109613,-0.0433194654496852,2004,"0405",-77.456047,169.248108
"8",9,9,2160,"ROYD","CROZ",2006,0,"NB",0,"B","KA","M",1999,7,0,"","Seen at Royds before 2005 and after 2006, bred there in 2009",NA,0.285585440199512,-0.285585440199512,-0.10953139299467,-0.197558416597091,2006,"0607",-77.451215,169.230201
"9",11,11,2349,"ROYD","CROZ",2002,0,"NB",0,"BREF","KA","F",1999,3,0,"","Only seen at Crozier in 2002, then at Royds and Bird",NA,0.0350563032426977,-0.0350563032426977,NA,-0.0350563032426977,2002,"0203",-77.44902,169.22199
"10",16,16,2726,"ROYD","CROZ",2006,1,"CR8",1,"D","KA","F",2000,6,0,"","Seen at Royds and Bird before breeding at Crozier",NA,0.224602860396655,0.775397139603345,-0.0793349717302331,0.348031083936556,2006,"0607",-77.460507,169.228275
"11",19,19,2762,"ROYD","CROZ",2006,0,"NB",0,"L","KA","F",2000,6,0,"","Seen at Royds before breeding at Crozier",NA,0.224602860396655,-0.224602860396655,-0.0793349717302331,-0.151968916063444,2006,"0607",-77.453055,169.234734
"12",20,20,2762,"ROYD","CROZ",2007,1,"CR9",1,"M","KA","F",2000,7,0,"","Seen at Royds before breeding at Crozier",NA,0.305293816836437,0.694706183163563,-0.151968916063444,0.130256117012225,2007,"0708",-77.453034,169.23475
"13",21,21,2762,"ROYD","CROZ",2008,1,"FAIL",0,"M","KA","F",2000,8,1,"","Seen at Royds before breeding at Crozier",NA,0.426041414671926,-0.426041414671926,0.130256117012225,-0.00881826590881277,2008,"0809",-77.453082,169.234863
"14",23,23,2762,"ROYD","CROZ",2010,1,"FAIL",0,"M","KA","F",2000,10,2,"","Seen at Royds before breeding at Crozier",NA,0.58339103304717,-0.58339103304717,-0.0774247987709807,-0.161752504483679,2010,"1011",-77.453069,169.234833
