season,date_ad_count,subcol_id,count_number,occupied,active,ad_ct_observer,date_ch_ct,ch_ct,ch_ct_observer,notes
1617,12/9/2016,b33,1,151,139,AS,1/15/2017,110,AS,
1617,12/9/2016,b33,2,158,146,AS,1/15/2017,108,EB,
1617,12/9/2016,n12,1,92,89,AS,1/15/2017,83,AS,
1617,12/9/2016,n12,2,91,88,AS,1/15/2017,81,EB,
1617,12/9/2016,c6,1,131,125,AS,1/15/2017,97,AS,
1617,12/9/2016,c6,2,129,123,AS,1/15/2017,99,EB,
1617,12/9/2016,c51,1,126,124,AS,1/15/2017,140,AS,
1617,12/9/2016,c51,2,126,124,AS,1/15/2017,146,AS,
1617,12/10/2016,c46,1,127,120,AS,1/15/2017,125,AS,
1617,12/10/2016,c46,2,130,123,AS,1/15/2017,124,AS,
1617,12/10/2016,n28,1,50,49,AS,1/15/2017,52,AS,
1617,12/10/2016,n28,2,50,49,AS,1/15/2017,53,EB,
1617,12/10/2016,n22,1,51,49,AS,1/15/2017,40,AS,"small group of extra chicks (22) off to side, not sure if part of subcol. Not included in chick count"
1617,12/10/2016,n22,2,51,49,AS,1/15/2017,44,EB,"small group of extra chicks (22) off to side, not sure if part of subcol. Not included in chick count"
1617,12/10/2016,l13,1,708,658,AS,1/16/2017,725,AS,
1617,12/10/2016,l13,2,749,699,AS,1/16/2017,758,AS,
1617,12/10/2016,l23,1,9,8,AS,1/16/2017,6,AS,
1617,12/10/2016,l17,1,226,212,AS,1/16/2017,222,,
1617,12/10/2016,l17,2,220,206,AS,1/16/2017,220,,
1617,12/10/2016,p21,1,174,171,AS,1/16/2017,188,,
1617,12/10/2016,p21,2,167,164,AS,1/16/2017,183,,
1617,12/10/2016,p22,1,75,74,AS,1/16/2017,83,,border with p23 fuzzy for chick count
1617,12/10/2016,p22,2,75,74,AS,1/16/2017,83,,border with p23 fuzzy for chick count
1617,12/10/2016,p39,1,94,91,AS,1/16/2017,86,,
1617,12/10/2016,p39,2,92,89,AS,1/16/2017,87,,
1617,12/10/2016,p42,1,137,132,AS,1/16/2017,140,,
1617,12/10/2016,p42,2,136,131,AS,1/16/2017,143,,
1617,12/10/2016,p44_1,1,69,64,AS,1/16/2017,61,,
1617,12/10/2016,p44_1,2,71,66,AS,1/16/2017,57,,
