"","Bandnumb","BQI_A","season","lat","lon"
"1",31840,0.368657371026393,"1617",-77.452286,169.233298
"2",31884,-0.0717136595222845,"1718",-77.453011,169.231521
"3",31948,0.00311251713569733,"1718",-77.452745,169.232252
"4",31977,0.187036258517156,"1718",-77.452974,169.233216
"5",31979,0.151805169675176,"1617",-77.4528,169.233036
"6",32019,0.0205539392540698,"1617",-77.452739,169.233854
"7",32026,0.253859552499173,"1516",-77.453473,169.228898
"8",32087,0.142255542172528,"1516",-77.451885,169.233045
"9",32107,0.0205539392540698,"1617",-77.453336,169.239575
"10",32124,0.139167330780458,"1617",-77.451936,169.231712
"11",32159,-0.0987903630298152,"1718",-77.452706,169.233607
"12",32189,-0.168916613127246,"1617",-77.45233,169.23314
"13",32204,0.234542970303518,"1718",-77.45221,169.232267
"14",32221,-0.207205108124765,"1617",-77.452217,169.232717
"15",32231,-0.0554639346292231,"1718",-77.452033,169.232601
"16",32248,-0.207205108124765,"1617",-77.452443,169.234387
"17",32324,-0.101826620486188,"1415",-77.453076,169.229944
"18",32348,0.329466955185198,"1617",-77.452611,169.229638
"19",32355,0.0806103009552454,"1516",-77.452521,169.234496
"20",32378,-0.153689952542164,"1415",-77.452175,169.233525
"21",32426,0.166333454041184,"1718",-77.452265,169.23486
"22",32462,0.216071089647513,"1718",-77.452268,169.230599
"23",32480,-0.117363646679929,"1415",-77.449955,169.22868
"24",32509,-0.147690257378814,"1617",-77.453555,169.223429
"25",32565,0.453268181942529,"1617",-77.452258,169.233268
"26",41336,0.0336913987530621,"1617",-77.452911,169.226338
"27",41543,-0.103087252156918,"1516",-77.452617,169.235452
"28",41617,0.0896339000289118,"1516",-77.452954,169.233785
"29",41854,0.160166899173555,"1718",-77.453119,169.233295
"30",42197,0.0322878241814495,"1516",-77.457607,169.2568
"31",42317,0.0618110552601795,"1718",-77.452429,169.23179
"32",42766,0.0958928220717627,"1516",-77.452721,169.232095
"33",42853,0.0650730992991779,"1415",-77.453096,169.23202
"34",43318,0.0522002547617216,"1617",-77.453445,169.238189
"35",43522,0.0989041132288986,"1718",-77.453006,169.233399
"36",43575,0.00592208116154776,"1718",-77.452904,169.233308
"37",43655,0.0195426535527621,"1718",-77.453121,169.233752
"38",43757,0.0417543637581186,"1617",-77.452674,169.234737
"39",43907,-0.0339154771517177,"1718",-77.452901,169.234048
"40",44233,-0.146279008774765,"1415",-77.451868,169.224787
"41",44317,0.141023805624845,"1415",-77.45285,169.232381
"42",44329,-0.050803148736125,"1415",-77.452835,169.236255
"43",44352,0.00548346279862173,"1718",-77.453084,169.232296
"44",44403,-0.178679633441633,"1617",-77.453024,169.23259
"45",44436,0.0571720417249127,"1617",-77.452477,169.230543
"46",44510,0.0872750468894804,"1516",-77.45359,169.227749
"47",44554,0.264039612347547,"1718",-77.45184,169.22146
"48",44739,0.0816807821357881,"1718",-77.45247,169.23094
"49",44953,-0.0492319204124227,"1718",-77.455079,169.23583
"50",45151,0.297460467431234,"1415",-77.453363,169.23932
"51",45179,0.0839551329256563,"1617",-77.454549,169.236215
"52",45903,-0.118733892990066,"1718",-77.454035,169.237668
"53",45967,-0.140033333081044,"1617",-77.455326,169.246019
"54",45981,-0.0187338929900659,"1718",-77.453658,169.235186
"55",45983,-0.0655674622436675,"1617",-77.452759,169.231466
"56",45989,0.193549323467195,"1617",-77.457568,169.24163
"57",46084,0.0430723139204047,"1617",-77.455685,169.223616
"58",46085,-0.0506447218973872,"1617",-77.452861,169.224238
"59",46133,-0.145265962246814,"1718",-77.452341,169.229529
"60",46135,0.0499599664059648,"1617",-77.456292,169.240456
"61",46146,0.305930407266304,"1415",-77.452396,169.228716
"62",46196,0.221317143461737,"1516",-77.452755,169.232176
"63",46210,0.0467688106975892,"1718",-77.452001,169.225445
"64",46226,-0.262342472654191,"1718",-77.454932,169.23182
"65",46234,0.401235735844785,"1617",-77.452612,169.233946
"66",46249,0.19263679059355,"1718",-77.453147,169.232018
"67",46279,0.264040828453862,"1718",-77.45273,169.234133
"68",46286,-0.153929639691281,"1415",-77.452245,169.232182
"69",46311,0.0422876299655957,"1718",-77.452927,169.233336
"70",46318,0.039150106820681,"1415",-77.454926,169.233119
"71",46324,0.00858019159934002,"1718",-77.452041,169.232161
"72",46334,-0.0987642641552151,"1617",-77.452787,169.231123
"73",46335,-0.0981575493720103,"1516",-77.453077,169.230351
