Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,wb,1,18,72.000000000000000,1.003816833098729
,b26,2,318,1272.000000000000000,1.086145937442780
,b25,3,4,16.000000000000000,0.519484989345074
,b24,4,51,204.000000000000000,0.244617785893235
,b23,5,229,916.000000000000000,0.646780062320451
,b12,6,38,152.000000000000000,0.676536216547615
,n10,7,19,76.000000000000000,1.789184971859581
,n28,8,5,20.000000000000000,1.431850934028625
,c58,9,59,236.000000000000000,2.423386250512075
,m27,10,11,44.000000000000000,1.227179884910584
,c46,11,16,64.000000000000000,1.124524019658566
,c6,12,22,88.000000000000000,1.330824727361853
,m28,13,20,80.000000000000000,1.087017774581909
,m29,14,12,48.000000000000000,1.021464745203654
,m25,15,9,36.000000000000000,0.840668247805701
,m23a,16,5,20.000000000000000,0.743523097038269
,m11,17,1,4.000000000000000,0.564513921737671
,m22a,18,2,8.000000000000000,0.753749370574951
,m23,19,46,184.000000000000000,0.586608575737995
,m24,20,4,16.000000000000000,0.891743004322052
,m21,21,28,112.000000000000000,0.771190539002419
,m16-22,22,27,108.000000000000000,0.596577401514407
,m12,23,41,164.000000000000000,0.484961257475178
,c51,24,18,72.000000000000000,0.804220593637890
,c38,25,13,52.000000000000000,1.207386154394883
,c24,26,28,112.000000000000000,1.287092110940388
,c37,27,13,52.000000000000000,1.249099960693946
,p55,28,8,32.000000000000000,1.235978990793228
,m33-34-35,29,229,916.000000000000000,1.107105678866524
,m6a,30,17,68.000000000000000,0.874674663824194
,m5,31,38,152.000000000000000,0.488351547404339
,m4,32,21,84.000000000000000,0.674731923001153
,m1a,33,13,52.000000000000000,1.166072322772100
,m14,34,6,24.000000000000000,0.730769634246826
,m14a,35,25,100.000000000000000,0.796950204372406
,m38,36,46,184.000000000000000,0.888028279594753
,m36,37,13,52.000000000000000,1.063159814247718
,mis,38,34,136.000000000000000,0.769430611063452
,p63,39,29,116.000000000000000,1.589010814140583
,p42,40,36,144.000000000000000,1.346048567030165
,p44,41,53,212.000000000000000,1.307404106518008
,p22,42,9,36.000000000000000,1.460907287067837
,p24,43,38,152.000000000000000,1.453409176123770
,p33,44,18,72.000000000000000,1.333016998238034
,p39,45,12,48.000000000000000,1.385304073492686
,p21,46,24,96.000000000000000,1.286683266361554
,qr132,47,15,60.000000000000000,1.076435550053914
,qr20,48,40,160.000000000000000,1.245018276572228
,s39,49,10,40.000000000000000,1.172733044624329
,s5,50,10,40.000000000000000,1.193266868591309
,qr65,51,30,120.000000000000000,2.953476234277090
,d22,52,10,40.000000000000000,0.838847637176514
,d16,53,10,40.000000000000000,0.840605491399765
,d9-11,54,3,12.000000000000000,0.704144636789958
,d35,55,9,36.000000000000000,1.104042980406019
,d12,56,13,52.000000000000000,1.309619903564453
,d47,57,16,64.000000000000000,1.158853031694889
,hk1,58,40,160.000000000000000,1.911530303955078
,d1,59,236,944.000000000000000,0.867328416745542
,g58,60,2,8.000000000000000,0.870904386043549
,g23,61,4,16.000000000000000,1.341501966118813
,g43,62,10,40.000000000000000,0.709135520458221
,f37,63,26,104.000000000000000,0.647975910168428
,g35,64,71,284.000000000000000,0.620840190162121
,f23,65,10,40.000000000000000,0.658025360107422
,g32,66,10,40.000000000000000,0.682468062639236
,f5,67,41,164.000000000000000,1.199284416873281
,fbeach,68,136,544.000000000000000,0.843241046456730
,g2,69,23,92.000000000000000,1.085582585438438
,d70,70,5,20.000000000000000,1.085325813293457
,b33,71,9,36.000000000000000,0.554459611574809
,s2-4,72,130,520.000000000000000,1.182106396785149
,p6,73,223,892.000000000000000,1.080254310182392
,l17,74,45,180.000000000000000,1.072978222370148
,l23_1,75,1,4.000000000000000,1.409010767936707
,t5,76,32,128.000000000000000,0.894632462412119
,m7,77,56,224.000000000000000,0.646044419280120
,m6,78,11,44.000000000000000,0.697872373190793
,m31,79,106,424.000000000000000,0.996137570660069
,m30,80,38,152.000000000000000,1.035936446566331
,m32,81,59,236.000000000000000,1.074715660790266
,m37,82,13,52.000000000000000,1.623893545224116
,g54,83,6,24.000000000000000,0.621626228094101
,t16,84,48,192.000000000000000,1.258721744020780
,l13,85,119,476.000000000000000,0.919213360598107
,n22,86,7,28.000000000000000,1.413131134850638
,n12,87,15,60.000000000000000,1.179330976804098
,s38,88,27,108.000000000000000,0.570911762890992
,p40_1,89,19,76.000000000000000,1.376327326423243
,c30-31,90,144,576.000000000000000,1.044936123614510
,l23_2,91,1,4.000000000000000,1.384965300559998
,s3,92,1,4.000000000000000,1.274571180343628
,d24_2,93,5,20.000000000000000,0.845444917678833
,d24_1,94,25,100.000000000000000,0.736677742004395
,c19-1,95,9,36.000000000000000,1.157042655679915
,n11,96,8,32.000000000000000,1.337264299392700
,b10,97,40,160.000000000000000,0.518363092094660
,t7,98,64,256.000000000000000,1.268492503091693
,t18,99,2,8.000000000000000,0.591400325298309
,s33,100,50,200.000000000000000,0.672839894294739
,d48,101,6,24.000000000000000,1.105509916941325
,p23,102,3,12.000000000000000,1.581604361534119
,m19,103,36,144.000000000000000,0.679809494151009
,m20,104,84,336.000000000000000,0.794668701433000
,g46,105,3,12.000000000000000,0.579477707544963
,l19,106,4,16.000000000000000,1.126646935939789
,c40,107,2,8.000000000000000,1.075214862823486
