Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,wb,1,18,72.000000000000000,2.000115354855856
,b26,2,318,1272.000000000000000,2.000061972336199
,b25,3,4,16.000000000000000,2.000072836875916
,b24,4,51,204.000000000000000,2.000140882005879
,b23,5,229,916.000000000000000,2.000340955226182
,b12,6,38,152.000000000000000,2.000389180685345
,n10,7,19,76.000000000000000,2.003521718476948
,n28,8,5,20.000000000000000,2.004443931579590
,c58,9,59,236.000000000000000,2.048071267241138
,m27,10,11,44.000000000000000,2.002431934530085
,c46,11,16,64.000000000000000,2.000061452388763
,c6,12,22,88.000000000000000,2.000904917716980
,m28,13,20,80.000000000000000,2.000049316883087
,m29,14,12,48.000000000000000,2.000078380107880
,m25,15,9,36.000000000000000,2.000022517310248
,m23a,16,5,20.000000000000000,2.000184392929077
,m11,17,1,4.000000000000000,2.000034093856812
,m22a,18,2,8.000000000000000,2.000032186508179
,m23,19,46,184.000000000000000,2.000100426051928
,m24,20,4,16.000000000000000,2.000884115695953
,m21,21,28,112.000000000000000,2.000279401029860
,m16-22,22,27,108.000000000000000,2.000074139347783
,m12,23,41,164.000000000000000,2.000044927364443
,c51,24,18,72.000000000000000,2.000044928656684
,c38,25,13,52.000000000000000,2.000097018021804
,c24,26,28,112.000000000000000,2.002224300588881
,c37,27,13,52.000000000000000,2.000043245462271
,p55,28,8,32.000000000000000,2.000034481287003
,m33-34-35,29,229,916.000000000000000,2.000047447379500
,m6a,30,17,68.000000000000000,2.000337179969339
,m5,31,38,152.000000000000000,2.000061562186793
,m4,32,21,84.000000000000000,2.002447321301415
,m1a,33,13,52.000000000000000,2.001540422439575
,m14,34,6,24.000000000000000,2.000037431716919
,m14a,35,25,100.000000000000000,2.000089321136475
,m38,36,46,184.000000000000000,2.000297059183535
,m36,37,13,52.000000000000000,2.001209919269269
,mis,38,34,136.000000000000000,2.008241653442383
,p63,39,29,116.000000000000000,2.001766319932609
,p42,40,36,144.000000000000000,2.000048829449548
,p44,41,53,212.000000000000000,2.000051421939202
,p22,42,9,36.000000000000000,2.000109487109714
,p24,43,38,152.000000000000000,2.000072240829468
,p33,44,18,72.000000000000000,2.000055591265360
,p39,45,12,48.000000000000000,2.000079174836477
,p21,46,24,96.000000000000000,2.000091940164566
,qr132,47,15,60.000000000000000,2.000037050247193
,qr20,48,40,160.000000000000000,2.000042915344238
,s39,49,10,40.000000000000000,2.002433657646179
,s5,50,10,40.000000000000000,2.000040221214294
,qr65,51,30,120.000000000000000,2.098486804962158
,d22,52,10,40.000000000000000,2.000074315071106
,d16,53,10,40.000000000000000,2.000203204154968
,d9-11,54,3,12.000000000000000,2.000191132227580
,d35,55,9,36.000000000000000,2.000244273079766
,d12,56,13,52.000000000000000,2.000136375427246
,d47,57,16,64.000000000000000,2.000032365322113
,hk1,58,40,160.000000000000000,2.000265443325043
,d1,59,236,944.000000000000000,2.000066980467004
,g58,60,2,8.000000000000000,2.013242125511169
,g23,61,4,16.000000000000000,2.001814246177673
,g43,62,10,40.000000000000000,2.000057888031006
,f37,63,26,104.000000000000000,2.000023988577036
,g35,64,71,284.000000000000000,2.000136764956192
,f23,65,10,40.000000000000000,2.000045633316040
,g32,66,10,40.000000000000000,2.000031423568726
,f5,67,41,164.000000000000000,2.000260062334014
,fbeach,68,136,544.000000000000000,2.020409661180833
,g2,69,23,92.000000000000000,2.000191844027975
,d70,70,5,20.000000000000000,2.000039577484131
,b33,71,9,36.000000000000000,2.000064611434937
,s2-4,72,130,520.000000000000000,2.000191743557270
,p6,73,223,892.000000000000000,2.000072729427184
,l17,74,45,180.000000000000000,2.001686424679226
,l23_1,75,1,4.000000000000000,2.000184297561646
,t5,76,32,128.000000000000000,2.000066548585892
,m7,77,56,224.000000000000000,2.000044941902161
,m6,78,11,44.000000000000000,2.000039555809714
,m31,79,106,424.000000000000000,2.005441994037268
,m30,80,38,152.000000000000000,2.000058205504166
,m32,81,59,236.000000000000000,2.000050039614661
,m37,82,13,52.000000000000000,2.001537763155424
,g54,83,6,24.000000000000000,2.000044703483582
,t16,84,48,192.000000000000000,2.000053827961286
,l13,85,119,476.000000000000000,2.000366519479190
,n22,86,7,28.000000000000000,2.000169311250959
,n12,87,15,60.000000000000000,2.000036748250325
,s38,88,27,108.000000000000000,2.000044548953021
,p40_1,89,19,76.000000000000000,2.000063093085038
,c30-31,90,144,576.000000000000000,2.005021075407664
,l23_2,91,1,4.000000000000000,2.000064134597778
,s3,92,1,4.000000000000000,2.000090122222900
,d24_2,93,5,20.000000000000000,2.000067758560181
,d24_1,94,25,100.000000000000000,2.000071601867676
,c19-1,95,9,36.000000000000000,2.000066916147868
,n11,96,8,32.000000000000000,2.000393271446228
,b10,97,40,160.000000000000000,2.001870334148407
,t7,98,64,256.000000000000000,2.000090412795544
,t18,99,2,8.000000000000000,2.000368833541870
,s33,100,50,200.000000000000000,2.000081157684326
,d48,101,6,24.000000000000000,2.000316937764486
,p23,102,3,12.000000000000000,2.001562277475993
,m19,103,36,144.000000000000000,2.000033530924055
,m20,104,84,336.000000000000000,2.000641678060804
,g46,105,3,12.000000000000000,2.000054438908895
,l19,106,4,16.000000000000000,2.000082314014435
,c40,107,2,8.000000000000000,2.000104427337647
