FID,subcol,notes,perim,area,pa_ratio,flood_risk
0,wb, ,81.7445984,87.9503021,0.9294420,13.8962002
1,b26,"merged, counted this partial",270.5939941,1324.6600342,0.2042740,3186.2700195
2,b25, ,26.0655994,22.1588001,1.1763099,2790.6101074
3,b24, ,85.9607010,216.1300049,0.3977260,22476.5000000
4,b23, ,244.2810059,938.5189819,0.2602830,3674.2700195
5,b12, ,84.6094971,161.8430023,0.5227890,418.5559998
6,n10, ,57.0497017,70.7431030,0.8064340,0.0000000
7,n28, ,38.4487000,25.2406006,1.5232900,0.0000000
8,c58, ,96.5752029,241.4779968,0.3999340,0.0000000
9,m27, ,32.0726013,47.5191002,0.6749410,10.5462999
10,c46, ,60.0834007,64.5150986,0.9313090,533.4879761
11,c6, ,87.3765030,85.0048981,1.0279000,0.0000000
12,m28, ,57.4328995,80.6858978,0.7118090,308.9159851
13,m29, ,49.9878998,55.2020988,0.9055440,1261.8699951
14,m25, ,27.7171993,36.0180016,0.7695380,0.0000000
15,m23a, ,31.3302002,32.3485985,0.9685160,0.0000000
16,m11, ,16.5737000,9.7281904,1.7036800,0.0000000
17,m22a, ,9.7237902,5.4099598,1.7973900,0.0000000
18,m23, ,106.6790009,193.5260010,0.5512370,451.9599915
19,m24, ,22.1793995,19.9820995,1.1099600,0.0000000
20,m21, ,66.8520966,122.0139999,0.5479060,0.0000000
21,m16-22, ,49.5682983,100.4550018,0.4934360,0.0000000
22,m12, ,120.9359970,181.8679962,0.6649690,468.6310120
23,c51, ,77.3182983,68.1303024,1.1348600,42.4831009
24,c38, ,47.6930008,54.0620995,0.8821890,1032.6300049
25,c24, ,70.1667023,117.4950027,0.5971880,886.5549927
26,c37, ,41.2778015,52.0318985,0.7933170,69.7982025
27,p55, ,40.3227005,32.9704018,1.2230000,55.7182999
28,m33-34-35, ,309.5260010,965.8859863,0.3204580,1442.8599854
29,m6a, ,46.0093002,67.1912003,0.6847510,0.0000000
30,m5, ,106.5500031,153.6419983,0.6934940,0.0000000
31,m4, ,49.6002998,78.4977036,0.6318700,0.0000000
32,m1a, ,61.3404007,49.1786003,1.2473000,0.0000000
33,m14, ,21.9650002,24.8206005,0.8849480,0.0000000
34,m14a, ,66.4116974,97.0130005,0.6845650,0.0000000
35,m38, ,87.4979019,205.0249939,0.4267680,0.0000000
36,m36, ,42.0918999,50.5134010,0.8332820,0.0000000
37,mis, ,67.7711029,143.1690063,0.4733660,8974.1699219
38,p63, ,62.3361015,106.8349991,0.5834820,263.7000122
39,p42, ,104.9380035,150.1519928,0.6988790,0.0000000
40,p44,merged version of p44,119.6940002,226.1629944,0.5292350,10589.0000000
41,p22, ,31.1135998,40.5481987,0.7673240,0.0000000
42,p24, ,92.8778000,149.5010071,0.6212500,98.0384979
43,p33, ,52.2156982,74.4999008,0.7008830,162.3549957
44,p39, ,41.3063011,53.3844986,0.7737510,0.0000000
45,p21, ,87.7604980,98.9235992,0.8871550,1.5306100
46,qr132, ,39.0139008,60.2571983,0.6474570,0.0000000
47,qr20, ,82.1378021,161.6069946,0.5082560,0.0000000
48,s39, ,29.8806992,45.6757011,0.6541920,0.0000000
49,s5, ,38.8278999,51.4757004,0.7542970,0.0000000
50,qr65, ,82.2023010,137.4530029,0.5980370,0.0000000
