OBJECTID,subcol,ZONE_CODE,COUNT,AREA,MEAN
1,wb,1,18,72.000000000000000,17.017197873857285
2,b26,2,318,1272.000000000000000,45.517761802429675
3,b25,3,4,16.000000000000000,61.732448577880859
4,b24,4,51,204.000000000000000,40.269287745157875
5,b23,5,229,916.000000000000000,147.688264160144540
6,b12,6,38,152.000000000000000,59.776636600494385
7,n10,7,19,76.000000000000000,79.432660153037617
8,n28,8,5,20.000000000000000,70.231073760986334
9,c58,9,59,236.000000000000000,98.614237542879778
10,m27,10,11,44.000000000000000,68.532286904074923
11,c46,11,16,64.000000000000000,46.779703855514526
12,c6,12,22,88.000000000000000,73.526970950039953
13,m28,13,20,80.000000000000000,68.010852813720703
14,m29,14,12,48.000000000000000,64.098715146382645
15,m25,15,9,36.000000000000000,68.691276550292969
16,m23a,16,5,20.000000000000000,70.143179321289068
17,m11,17,1,4.000000000000000,37.265899658203125
18,m22a,18,2,8.000000000000000,68.858688354492188
19,m23,19,46,184.000000000000000,58.479156494140625
20,m24,20,4,16.000000000000000,83.739597320556641
21,m21,21,28,112.000000000000000,73.581843512398862
22,m16-22,22,27,108.000000000000000,59.385322146945526
23,m12,23,41,164.000000000000000,44.498781762472014
24,c51,24,18,72.000000000000000,73.671451144748261
25,c38,25,13,52.000000000000000,63.994064037616440
26,c24,26,28,112.000000000000000,59.609356471470427
27,c37,27,13,52.000000000000000,52.951368772066559
28,p55,28,8,32.000000000000000,49.918533802032471
29,m33-34-35,29,229,916.000000000000000,54.782449797251338
30,m6a,30,17,68.000000000000000,79.521573683794813
31,m5,31,38,152.000000000000000,79.794162449083828
32,m4,32,21,84.000000000000000,124.842110406784780
33,m1a,33,13,52.000000000000000,29.096035590538612
34,m14,34,6,24.000000000000000,48.865855534871422
35,m14a,35,25,100.000000000000000,38.721956100463871
36,m38,36,46,184.000000000000000,80.930537016495421
37,m36,37,13,52.000000000000000,50.836143200214096
38,mis,38,34,136.000000000000000,111.721853592816520
39,p63,39,29,116.000000000000000,53.387994174299571
40,p42,40,36,144.000000000000000,35.750583330790199
41,p44,41,53,212.000000000000000,37.826046349867333
42,p22,42,9,36.000000000000000,55.693795522054039
43,p24,43,38,152.000000000000000,61.514671225296823
44,p33,44,18,72.000000000000000,39.721025254991318
45,p39,45,12,48.000000000000000,36.198648134867348
46,p21,46,24,96.000000000000000,61.269466559092201
47,qr132,47,15,60.000000000000000,30.841057713826498
48,qr20,48,40,160.000000000000000,81.366398429870600
49,s39,49,10,40.000000000000000,119.866455078125000
50,s5,50,10,40.000000000000000,107.930918884277350
51,qr65,51,30,120.000000000000000,131.957126808166490
52,d22,52,10,40.000000000000000,49.685482025146484
53,d16,53,10,40.000000000000000,22.280309295654298
54,d9-11,54,3,12.000000000000000,345.729736328125000
55,d35,55,9,36.000000000000000,40.664565616183808
56,d12,56,13,52.000000000000000,42.982558030348557
57,d47,57,16,64.000000000000000,52.262567281723022
58,hk1,58,40,160.000000000000000,68.498991680145267
59,d1,59,236,944.000000000000000,23.594648986549700
60,g58,60,2,8.000000000000000,306.333145141601560
61,g23,61,4,16.000000000000000,332.889831542968750
62,g43,62,10,40.000000000000000,45.395746231079102
63,f37,63,26,104.000000000000000,47.827511273897613
64,g35,64,71,284.000000000000000,58.331609430447429
65,f23,65,10,40.000000000000000,32.923863410949707
66,g32,66,10,40.000000000000000,66.143733978271484
67,f5,67,41,164.000000000000000,64.708000648312449
68,fbeach,68,136,544.000000000000000,114.910760425469450
69,g2,69,23,92.000000000000000,5.568906618201214
70,d70,70,5,20.000000000000000,34.644119262695313
71,b33,71,9,36.000000000000000,25.490613725450302
72,s2-4,72,130,520.000000000000000,107.692361978384170
73,p6,73,223,892.000000000000000,56.191181217073861
74,l17,74,45,180.000000000000000,21.661110202471416
75,l23_1,75,1,4.000000000000000,34.500637054443359
76,t5,76,32,128.000000000000000,73.202863454818726
77,m7,77,56,224.000000000000000,52.743155343191965
78,m6,78,11,44.000000000000000,70.163183732466265
79,m31,79,106,424.000000000000000,63.554868932040236
80,m30,80,38,152.000000000000000,51.811182323255039
81,m32,81,59,236.000000000000000,52.291624812756552
82,m37,82,13,52.000000000000000,68.154226743257965
83,g54,83,6,24.000000000000000,48.207561492919922
84,t16,84,48,192.000000000000000,110.508086204528810
85,l13,85,119,476.000000000000000,39.917437048018478
86,n22,86,7,28.000000000000000,68.662328447614399
87,n12,87,15,60.000000000000000,41.896702829996748
88,s38,88,27,108.000000000000000,75.450839572482636
89,p40_1,89,19,76.000000000000000,36.840215582596628
90,c30-31,90,144,576.000000000000000,91.179178423351715
91,l23_2,91,1,4.000000000000000,36.544433593750000
92,s3,92,1,4.000000000000000,114.448333740234370
93,d24_2,93,5,20.000000000000000,25.054454803466797
94,d24_1,94,25,100.000000000000000,46.987431182861329
95,c19-1,95,9,36.000000000000000,64.666523403591583
96,n11,96,8,32.000000000000000,42.300720214843750
97,b10,97,40,160.000000000000000,83.316332411766055
98,t7,98,64,256.000000000000000,96.692447185516357
99,t18,99,2,8.000000000000000,65.289449691772461
100,s33,100,50,200.000000000000000,102.402379302978520
101,d48,101,6,24.000000000000000,43.740939458211265
102,p23,102,3,12.000000000000000,60.096365610758461
103,m19,103,36,144.000000000000000,65.440333366394043
104,m20,104,84,336.000000000000000,67.260791642325259
105,g46,105,3,12.000000000000000,27.446772257486980
106,l19,106,4,16.000000000000000,8.306369662284851
107,c40,107,2,8.000000000000000,69.349212646484375
