OBJECTID,subcol,ZONE_CODE,COUNT,AREA,MEAN
1,wb,1,18,72.000000000000000,-16.184082031250000
2,b26,2,318,1272.000000000000000,-29.390284124410378
3,b25,3,4,16.000000000000000,-43.803844451904297
4,b24,4,51,204.000000000000000,-44.966421688304230
5,b23,5,229,916.000000000000000,-40.132751698056680
6,b12,6,38,152.000000000000000,-32.035914270501387
7,n10,7,19,76.000000000000000,16.035053453947370
8,n28,8,5,20.000000000000000,23.238085937499999
9,c58,9,59,236.000000000000000,57.378840042372879
10,m27,10,11,44.000000000000000,-10.322975852272727
11,c46,11,16,64.000000000000000,37.687805175781250
12,c6,12,22,88.000000000000000,9.241255326704545
13,m28,13,20,80.000000000000000,-8.616845703125000
14,m29,14,12,48.000000000000000,-8.529052734375000
15,m25,15,9,36.000000000000000,-19.317057291666668
16,m23a,16,5,20.000000000000000,-18.175000000000001
17,m11,17,1,4.000000000000000,-21.252929687500000
18,m22a,18,2,8.000000000000000,-21.480957031250000
19,m23,19,46,184.000000000000000,-20.364491338315219
20,m24,20,4,16.000000000000000,-18.812255859375000
21,m21,21,28,112.000000000000000,-21.109898158482142
22,m16-22,22,27,108.000000000000000,-23.241210937500000
23,m12,23,41,164.000000000000000,-23.792921112804876
24,c51,24,18,72.000000000000000,41.749565972222221
25,c38,25,13,52.000000000000000,22.866060697115383
26,c24,26,28,112.000000000000000,18.263881138392858
27,c37,27,13,52.000000000000000,17.395132211538460
28,p55,28,8,32.000000000000000,19.993652343750000
29,m33-34-35,29,229,916.000000000000000,-4.703542917576419
30,m6a,30,17,68.000000000000000,-21.039751838235293
31,m5,31,38,152.000000000000000,-21.321443256578949
32,m4,32,21,84.000000000000000,-23.242327008928573
33,m1a,33,13,52.000000000000000,-30.188138961791992
34,m14,34,6,24.000000000000000,-26.065917968750000
35,m14a,35,25,100.000000000000000,-26.925585937499999
36,m38,36,46,184.000000000000000,-34.987836340199344
37,m36,37,13,52.000000000000000,-37.531742095947266
38,mis,38,34,136.000000000000000,-34.443847656250000
39,p63,39,29,116.000000000000000,35.590618265086206
40,p42,40,36,144.000000000000000,28.247016059027779
41,p44,41,53,212.000000000000000,11.262529481132075
42,p22,42,9,36.000000000000000,62.120985243055557
43,p24,43,38,152.000000000000000,65.784847861842110
44,p33,44,18,72.000000000000000,46.654730902777779
45,p39,45,12,48.000000000000000,42.064290364583336
46,p21,46,24,96.000000000000000,76.806844075520829
47,qr132,47,15,60.000000000000000,20.242903645833334
48,qr20,48,40,160.000000000000000,74.373901367187500
49,s39,49,10,40.000000000000000,47.117285156249999
50,s5,50,10,40.000000000000000,66.362890625000006
51,qr65,51,30,120.000000000000000,46.258626302083336
52,d22,52,10,40.000000000000000,74.019140625000006
53,d16,53,10,40.000000000000000,79.602636718750006
54,d9-11,54,3,12.000000000000000,92.649414062500000
55,d35,55,9,36.000000000000000,88.174153645833329
56,d12,56,13,52.000000000000000,84.267352764423080
57,d47,57,16,64.000000000000000,69.192565917968750
58,hk1,58,40,160.000000000000000,-34.774715375900271
59,d1,59,236,944.000000000000000,97.445283534163138
60,g58,60,2,8.000000000000000,-12.419921875000000
61,g23,61,4,16.000000000000000,-13.302490234375000
62,g43,62,10,40.000000000000000,3.240429687500000
63,f37,63,26,104.000000000000000,1.360764723557692
64,g35,64,71,284.000000000000000,-5.644998899647887
65,f23,65,10,40.000000000000000,-12.453808593750001
66,g32,66,10,40.000000000000000,-8.163281250000001
67,f5,67,41,164.000000000000000,-38.629032135009766
68,fbeach,68,136,544.000000000000000,-45.832127374761242
69,g2,69,23,92.000000000000000,-33.144361413043477
70,d70,70,5,20.000000000000000,54.950585937500001
71,b33,71,9,36.000000000000000,-36.595080481635200
72,s2-4,72,130,520.000000000000000,70.381790865384616
73,p6,73,223,892.000000000000000,89.885483814461878
74,l17,74,45,180.000000000000000,-35.625836520724825
75,l23_1,75,1,4.000000000000000,-34.222656250000000
76,t5,76,32,128.000000000000000,-5.993469238281250
77,m7,77,56,224.000000000000000,-17.940569196428573
78,m6,78,11,44.000000000000000,-19.097922585227273
79,m31,79,106,424.000000000000000,-16.121784714033019
80,m30,80,38,152.000000000000000,-9.685726768092104
81,m32,81,59,236.000000000000000,-8.573920815677965
82,m37,82,13,52.000000000000000,-39.290824890136719
83,g54,83,6,24.000000000000000,0.430013020833333
84,t16,84,48,192.000000000000000,14.399475097656250
85,l13,85,119,476.000000000000000,-24.270819655987395
86,n22,86,7,28.000000000000000,20.121651785714285
87,n12,87,15,60.000000000000000,1.086914062500000
88,s38,88,27,108.000000000000000,36.872468171296298
89,p40_1,89,19,76.000000000000000,40.749023437500000
90,c30-31,90,144,576.000000000000000,50.772644042968750
91,l23_2,91,1,4.000000000000000,-32.962890625000000
92,s3,92,1,4.000000000000000,64.410156250000000
93,d24_2,93,5,20.000000000000000,77.369726562500006
94,d24_1,94,25,100.000000000000000,77.300468749999993
95,c19-1,95,9,36.000000000000000,31.263997395833332
96,n11,96,8,32.000000000000000,8.932739257812500
97,b10,97,40,160.000000000000000,-25.806585836410523
98,t7,98,64,256.000000000000000,14.397674560546875
99,t18,99,2,8.000000000000000,9.022460937500000
100,s33,100,50,200.000000000000000,38.828203125000002
101,d48,101,6,24.000000000000000,67.699544270833329
102,p23,102,3,12.000000000000000,63.069335937500000
103,m19,103,36,144.000000000000000,-25.492431640625000
104,m20,104,84,336.000000000000000,-25.126581055777415
105,g46,105,3,12.000000000000000,-5.900065104166667
106,l19,106,4,16.000000000000000,-38.704775810241699
107,c40,107,2,8.000000000000000,24.099609375000000
