OBJECTID,subcol,ZONE_CODE,COUNT,AREA,MEAN
1,wb,1,18,72.000000000000000,32.277777777777779
2,b26,2,318,1272.000000000000000,86.657232704402517
3,b25,3,4,16.000000000000000,191.500000000000000
4,b24,4,51,204.000000000000000,908.431372549019560
5,b23,5,229,916.000000000000000,47.825327510917027
6,b12,6,38,152.000000000000000,38.552631578947370
7,n10,7,19,76.000000000000000,14.210526315789474
8,n28,8,5,20.000000000000000,20.600000000000001
9,c58,9,59,236.000000000000000,22.779661016949152
10,m27,10,11,44.000000000000000,61.909090909090907
11,c46,11,16,64.000000000000000,121.562500000000000
12,c6,12,22,88.000000000000000,7.590909090909091
13,m28,13,20,80.000000000000000,57.299999999999997
14,m29,14,12,48.000000000000000,142.000000000000000
15,m25,15,9,36.000000000000000,41.555555555555557
16,m23a,16,5,20.000000000000000,67.000000000000000
17,m11,17,1,4.000000000000000,136.000000000000000
18,m22a,18,2,8.000000000000000,24.500000000000000
19,m23,19,46,184.000000000000000,91.739130434782609
20,m24,20,4,16.000000000000000,1119.750000000000000
21,m21,21,28,112.000000000000000,4.892857142857143
22,m16-22,22,27,108.000000000000000,36.518518518518519
23,m12,23,41,164.000000000000000,185.487804878048790
24,c51,24,18,72.000000000000000,161.555555555555540
25,c38,25,13,52.000000000000000,58.230769230769234
26,c24,26,28,112.000000000000000,226.000000000000000
27,c37,27,13,52.000000000000000,58.615384615384613
28,p55,28,8,32.000000000000000,41.875000000000000
29,m33-34-35,29,229,916.000000000000000,90.043668122270745
30,m6a,30,17,68.000000000000000,153.470588235294120
31,m5,31,38,152.000000000000000,69.473684210526315
32,m4,32,21,84.000000000000000,3.285714285714286
33,m1a,33,13,52.000000000000000,56.923076923076920
34,m14,34,6,24.000000000000000,33.833333333333336
35,m14a,35,25,100.000000000000000,867.240000000000010
36,m38,36,46,184.000000000000000,2.782608695652174
37,m36,37,13,52.000000000000000,12.230769230769230
38,mis,38,34,136.000000000000000,1719.764705882352900
39,p63,39,29,116.000000000000000,43.965517241379310
40,p42,40,36,144.000000000000000,174.361111111111110
41,p44,41,53,212.000000000000000,501.943396226415080
42,p22,42,9,36.000000000000000,22.666666666666668
43,p24,43,38,152.000000000000000,52.736842105263158
44,p33,44,18,72.000000000000000,129.500000000000000
45,p39,45,12,48.000000000000000,62.166666666666664
46,p21,46,24,96.000000000000000,22.083333333333332
47,qr132,47,15,60.000000000000000,12.733333333333333
48,qr20,48,40,160.000000000000000,30.425000000000001
49,s39,49,10,40.000000000000000,178.199999999999990
50,s5,50,10,40.000000000000000,39.299999999999997
51,qr65,51,30,120.000000000000000,15.633333333333333
52,d22,52,10,40.000000000000000,42.399999999999999
53,d16,53,10,40.000000000000000,28.600000000000001
54,d9-11,54,3,12.000000000000000,0.333333333333333
55,d35,55,9,36.000000000000000,7.666666666666667
56,d12,56,13,52.000000000000000,16.461538461538460
57,d47,57,16,64.000000000000000,23.625000000000000
58,hk1,58,40,160.000000000000000,15.449999999999999
59,d1,59,236,944.000000000000000,56.605932203389834
60,g58,60,2,8.000000000000000,4.000000000000000
61,g23,61,4,16.000000000000000,8.500000000000000
62,g43,62,10,40.000000000000000,26.000000000000000
63,f37,63,26,104.000000000000000,66.576923076923080
64,g35,64,71,284.000000000000000,52.169014084507040
65,f23,65,10,40.000000000000000,49.799999999999997
66,g32,66,10,40.000000000000000,45.700000000000003
67,f5,67,41,164.000000000000000,23.853658536585368
68,fbeach,68,136,544.000000000000000,165.735294117647070
69,g2,69,23,92.000000000000000,35.478260869565219
70,d70,70,5,20.000000000000000,8.600000000000000
71,b33,71,9,36.000000000000000,46.555555555555557
72,s2-4,72,130,520.000000000000000,39.938461538461539
73,p6,73,223,892.000000000000000,40.556053811659190
74,l17,74,45,180.000000000000000,93.422222222222217
75,l23_1,75,1,4.000000000000000,260.000000000000000
76,t5,76,32,128.000000000000000,7.437500000000000
77,m7,77,56,224.000000000000000,81.750000000000000
78,m6,78,11,44.000000000000000,113.727272727272730
79,m31,79,106,424.000000000000000,81.075471698113205
80,m30,80,38,152.000000000000000,40.473684210526315
81,m32,81,59,236.000000000000000,79.779661016949149
82,m37,82,13,52.000000000000000,8.461538461538462
83,g54,83,6,24.000000000000000,20.000000000000000
84,t16,84,48,192.000000000000000,19.000000000000000
85,l13,85,119,476.000000000000000,176.554621848739490
86,n22,86,7,28.000000000000000,43.571428571428569
87,n12,87,15,60.000000000000000,276.466666666666640
88,s38,88,27,108.000000000000000,775.407407407407390
89,p40_1,89,19,76.000000000000000,216.105263157894740
90,c30-31,90,144,576.000000000000000,36.722222222222221
91,l23_2,91,1,4.000000000000000,1.000000000000000
92,s3,92,1,4.000000000000000,13.000000000000000
93,d24_2,93,5,20.000000000000000,85.200000000000003
94,d24_1,94,25,100.000000000000000,6983.560000000000400
95,c19-1,95,9,36.000000000000000,135.000000000000000
96,n11,96,8,32.000000000000000,3.125000000000000
97,b10,97,40,160.000000000000000,32.424999999999997
98,t7,98,64,256.000000000000000,58.687500000000000
99,t18,99,2,8.000000000000000,342.000000000000000
100,s33,100,50,200.000000000000000,72.560000000000002
101,d48,101,6,24.000000000000000,1465.166666666666700
102,p23,102,3,12.000000000000000,22.000000000000000
103,m19,103,36,144.000000000000000,132.194444444444460
104,m20,104,84,336.000000000000000,238.976190476190480
105,g46,105,3,12.000000000000000,2.333333333333334
106,l19,106,4,16.000000000000000,6.500000000000000
107,c40,107,2,8.000000000000000,104.500000000000000
