Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,wb,1,18,72.000000000000000,0.166666666666667
,b26,2,318,1272.000000000000000,44.965408805031444
,b25,3,4,16.000000000000000,187.000000000000000
,b24,4,51,204.000000000000000,396.215686274509780
,b23,5,229,916.000000000000000,31.737991266375545
,b12,6,38,152.000000000000000,4.921052631578948
,n10,7,19,76.000000000000000,0.000000000000000
,n28,8,5,20.000000000000000,0.000000000000000
,c58,9,59,236.000000000000000,0.000000000000000
,m27,10,11,44.000000000000000,0.545454545454545
,c46,11,16,64.000000000000000,24.000000000000000
,c6,12,22,88.000000000000000,0.000000000000000
,m28,13,20,80.000000000000000,8.449999999999999
,m29,14,12,48.000000000000000,40.916666666666664
,m25,15,9,36.000000000000000,0.000000000000000
,m23a,16,5,20.000000000000000,6.400000000000000
,m11,17,1,4.000000000000000,33.000000000000000
,m22a,18,2,8.000000000000000,0.000000000000000
,m23,19,46,184.000000000000000,16.739130434782609
,m24,20,4,16.000000000000000,2.500000000000000
,m21,21,28,112.000000000000000,0.000000000000000
,m16-22,22,27,108.000000000000000,0.000000000000000
,m12,23,41,164.000000000000000,23.463414634146343
,c51,24,18,72.000000000000000,0.722222222222222
,c38,25,13,52.000000000000000,28.384615384615383
,c24,26,28,112.000000000000000,23.071428571428573
,c37,27,13,52.000000000000000,1.307692307692308
,p55,28,8,32.000000000000000,2.750000000000000
,m33-34-35,29,229,916.000000000000000,12.890829694323145
,m6a,30,17,68.000000000000000,17.647058823529413
,m5,31,38,152.000000000000000,4.552631578947368
,m4,32,21,84.000000000000000,0.000000000000000
,m1a,33,13,52.000000000000000,1.076923076923077
,m14,34,6,24.000000000000000,0.000000000000000
,m14a,35,25,100.000000000000000,157.280000000000000
,m38,36,46,184.000000000000000,0.000000000000000
,m36,37,13,52.000000000000000,0.000000000000000
,mis,38,34,136.000000000000000,373.588235294117620
,p63,39,29,116.000000000000000,6.517241379310345
,p42,40,36,144.000000000000000,9.194444444444445
,p44,41,53,212.000000000000000,116.320754716981130
,p22,42,9,36.000000000000000,0.000000000000000
,p24,43,38,152.000000000000000,1.105263157894737
,p33,44,18,72.000000000000000,4.333333333333333
,p39,45,12,48.000000000000000,0.000000000000000
,p21,46,24,96.000000000000000,0.000000000000000
,qr132,47,15,60.000000000000000,0.000000000000000
,qr20,48,40,160.000000000000000,0.000000000000000
,s39,49,10,40.000000000000000,0.000000000000000
,s5,50,10,40.000000000000000,3.700000000000000
,qr65,51,30,120.000000000000000,0.000000000000000
,d22,52,10,40.000000000000000,0.000000000000000
,d16,53,10,40.000000000000000,0.000000000000000
,d9-11,54,3,12.000000000000000,0.000000000000000
,d35,55,9,36.000000000000000,0.000000000000000
,d12,56,13,52.000000000000000,0.000000000000000
,d47,57,16,64.000000000000000,0.000000000000000
,hk1,58,40,160.000000000000000,0.000000000000000
,d1,59,236,944.000000000000000,2.538135593220339
,g58,60,2,8.000000000000000,0.000000000000000
,g23,61,4,16.000000000000000,0.000000000000000
,g43,62,10,40.000000000000000,10.100000000000000
,f37,63,26,104.000000000000000,51.923076923076920
,g35,64,71,284.000000000000000,15.549295774647888
,f23,65,10,40.000000000000000,0.000000000000000
,g32,66,10,40.000000000000000,4.000000000000000
,f5,67,41,164.000000000000000,0.000000000000000
,fbeach,68,136,544.000000000000000,21.147058823529413
,g2,69,23,92.000000000000000,0.000000000000000
,d70,70,5,20.000000000000000,0.000000000000000
,b33,71,9,36.000000000000000,36.444444444444443
,s2-4,72,130,520.000000000000000,1.730769230769231
,p6,73,223,892.000000000000000,9.408071748878923
,l17,74,45,180.000000000000000,0.000000000000000
,l23_1,75,1,4.000000000000000,24.000000000000000
,t5,76,32,128.000000000000000,0.000000000000000
,m7,77,56,224.000000000000000,4.107142857142857
,m6,78,11,44.000000000000000,6.636363636363637
,m31,79,106,424.000000000000000,8.179245283018869
,m30,80,38,152.000000000000000,6.947368421052632
,m32,81,59,236.000000000000000,5.711864406779661
,m37,82,13,52.000000000000000,0.000000000000000
,g54,83,6,24.000000000000000,4.166666666666667
,t16,84,48,192.000000000000000,0.000000000000000
,l13,85,119,476.000000000000000,5.142857142857143
,n22,86,7,28.000000000000000,0.000000000000000
,n12,87,15,60.000000000000000,2.400000000000000
,s38,88,27,108.000000000000000,50.518518518518519
,p40_1,89,19,76.000000000000000,17.000000000000000
,c30-31,90,144,576.000000000000000,0.013888888888889
,l23_2,91,1,4.000000000000000,0.000000000000000
,s3,92,1,4.000000000000000,0.000000000000000
,d24_2,93,5,20.000000000000000,0.000000000000000
,d24_1,94,25,100.000000000000000,2188.079999999999900
,c19-1,95,9,36.000000000000000,6.000000000000000
,n11,96,8,32.000000000000000,0.000000000000000
,b10,97,40,160.000000000000000,2.825000000000000
,t7,98,64,256.000000000000000,0.000000000000000
,t18,99,2,8.000000000000000,0.000000000000000
,s33,100,50,200.000000000000000,1.440000000000000
,d48,101,6,24.000000000000000,1020.333333333333400
,p23,102,3,12.000000000000000,0.000000000000000
,m19,103,36,144.000000000000000,9.166666666666666
,m20,104,84,336.000000000000000,0.357142857142857
,g46,105,3,12.000000000000000,0.000000000000000
,l19,106,4,16.000000000000000,0.000000000000000
,c40,107,2,8.000000000000000,30.500000000000000
