OBJECTID,subcol,ZONE_CODE,COUNT,AREA,MEAN
1,wb,1,18,72.000000000000000,26.333333333333332
2,b26,2,318,1272.000000000000000,27.704402515723270
3,b25,3,4,16.000000000000000,38.750000000000000
4,b24,4,51,204.000000000000000,53.843137254901961
5,b23,5,229,916.000000000000000,46.139737991266372
6,b12,6,38,152.000000000000000,31.763157894736842
7,n10,7,19,76.000000000000000,0.000000000000000
8,n28,8,5,20.000000000000000,6.200000000000000
9,c58,9,59,236.000000000000000,21.525423728813561
10,m27,10,11,44.000000000000000,10.454545454545455
11,c46,11,16,64.000000000000000,8.500000000000000
12,c6,12,22,88.000000000000000,3.000000000000000
13,m28,13,20,80.000000000000000,10.100000000000000
14,m29,14,12,48.000000000000000,14.250000000000000
15,m25,15,9,36.000000000000000,23.777777777777779
16,m23a,16,5,20.000000000000000,32.000000000000000
17,m11,17,1,4.000000000000000,35.000000000000000
18,m22a,18,2,8.000000000000000,28.500000000000000
19,m23,19,46,184.000000000000000,34.260869565217391
20,m24,20,4,16.000000000000000,25.250000000000000
21,m21,21,28,112.000000000000000,29.714285714285715
22,m16-22,22,27,108.000000000000000,35.000000000000000
23,m12,23,41,164.000000000000000,40.487804878048777
24,c51,24,18,72.000000000000000,26.833333333333332
25,c38,25,13,52.000000000000000,3.692307692307693
26,c24,26,28,112.000000000000000,4.392857142857143
27,c37,27,13,52.000000000000000,2.846153846153846
28,p55,28,8,32.000000000000000,4.250000000000000
29,m33-34-35,29,229,916.000000000000000,9.694323144104803
30,m6a,30,17,68.000000000000000,26.764705882352942
31,m5,31,38,152.000000000000000,45.026315789473685
32,m4,32,21,84.000000000000000,62.047619047619051
33,m1a,33,13,52.000000000000000,17.461538461538460
34,m14,34,6,24.000000000000000,28.333333333333332
35,m14a,35,25,100.000000000000000,27.079999999999998
36,m38,36,46,184.000000000000000,25.152173913043477
37,m36,37,13,52.000000000000000,9.923076923076923
38,mis,38,34,136.000000000000000,42.823529411764703
39,p63,39,29,116.000000000000000,0.172413793103448
40,p42,40,36,144.000000000000000,1.500000000000000
41,p44,41,53,212.000000000000000,2.773584905660377
42,p22,42,9,36.000000000000000,0.000000000000000
43,p24,43,38,152.000000000000000,0.000000000000000
44,p33,44,18,72.000000000000000,2.055555555555555
45,p39,45,12,48.000000000000000,0.083333333333333
46,p21,46,24,96.000000000000000,2.083333333333334
47,qr132,47,15,60.000000000000000,17.199999999999999
48,qr20,48,40,160.000000000000000,8.775000000000000
49,s39,49,10,40.000000000000000,41.799999999999997
50,s5,50,10,40.000000000000000,28.500000000000000
51,qr65,51,30,120.000000000000000,66.500000000000000
52,d22,52,10,40.000000000000000,21.600000000000001
53,d16,53,10,40.000000000000000,27.800000000000001
54,d9-11,54,3,12.000000000000000,53.333333333333336
55,d35,55,9,36.000000000000000,11.555555555555555
56,d12,56,13,52.000000000000000,0.846153846153846
57,d47,57,16,64.000000000000000,6.562500000000000
58,hk1,58,40,160.000000000000000,0.000000000000000
59,d1,59,236,944.000000000000000,29.779661016949152
60,g58,60,2,8.000000000000000,82.000000000000000
61,g23,61,4,16.000000000000000,56.500000000000000
62,g43,62,10,40.000000000000000,29.300000000000001
63,f37,63,26,104.000000000000000,32.692307692307693
64,g35,64,71,284.000000000000000,34.338028169014088
65,f23,65,10,40.000000000000000,34.700000000000003
66,g32,66,10,40.000000000000000,31.399999999999999
67,f5,67,41,164.000000000000000,6.146341463414634
68,fbeach,68,136,544.000000000000000,50.147058823529413
69,g2,69,23,92.000000000000000,28.304347826086957
70,d70,70,5,20.000000000000000,14.800000000000001
71,b33,71,9,36.000000000000000,42.777777777777779
72,s2-4,72,130,520.000000000000000,28.830769230769231
73,p6,73,223,892.000000000000000,11.170403587443946
74,l17,74,45,180.000000000000000,26.244444444444444
75,l23_1,75,1,4.000000000000000,0.000000000000000
76,t5,76,32,128.000000000000000,23.375000000000000
77,m7,77,56,224.000000000000000,33.553571428571431
78,m6,78,11,44.000000000000000,32.363636363636367
79,m31,79,106,424.000000000000000,18.726415094339622
80,m30,80,38,152.000000000000000,12.710526315789474
81,m32,81,59,236.000000000000000,11.406779661016950
82,m37,82,13,52.000000000000000,0.153846153846154
83,g54,83,6,24.000000000000000,34.333333333333336
84,t16,84,48,192.000000000000000,28.229166666666668
85,l13,85,119,476.000000000000000,31.529411764705884
86,n22,86,7,28.000000000000000,0.000000000000000
87,n12,87,15,60.000000000000000,7.800000000000000
88,s38,88,27,108.000000000000000,39.000000000000000
89,p40_1,89,19,76.000000000000000,0.421052631578947
90,c30-31,90,144,576.000000000000000,27.576388888888889
91,l23_2,91,1,4.000000000000000,2.000000000000000
92,s3,92,1,4.000000000000000,32.000000000000000
93,d24_2,93,5,20.000000000000000,29.000000000000000
94,d24_1,94,25,100.000000000000000,29.199999999999999
95,c19-1,95,9,36.000000000000000,7.444444444444445
96,n11,96,8,32.000000000000000,2.000000000000000
97,b10,97,40,160.000000000000000,42.000000000000000
98,t7,98,64,256.000000000000000,16.578125000000000
99,t18,99,2,8.000000000000000,36.000000000000000
100,s33,100,50,200.000000000000000,41.399999999999999
101,d48,101,6,24.000000000000000,9.833333333333334
102,p23,102,3,12.000000000000000,0.000000000000000
103,m19,103,36,144.000000000000000,30.611111111111111
104,m20,104,84,336.000000000000000,25.892857142857142
105,g46,105,3,12.000000000000000,37.333333333333336
106,l19,106,4,16.000000000000000,25.000000000000000
107,c40,107,2,8.000000000000000,7.000000000000000
