Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,wb,1,18,72.000000000000000,0.362194442086750
,b26,2,318,1272.000000000000000,0.336788050970941
,b25,3,4,16.000000000000000,0.255774997174740
,b24,4,51,204.000000000000000,0.247568627782896
,b23,5,229,916.000000000000000,0.277913972930617
,b12,6,38,152.000000000000000,0.219465790610564
,n10,7,19,76.000000000000000,0.319078947368421
,n28,8,5,20.000000000000000,0.300759994983673
,c58,9,59,236.000000000000000,0.225755932219958
,m27,10,11,44.000000000000000,0.257409084926952
,c46,11,16,64.000000000000000,0.253943750634789
,c6,12,22,88.000000000000000,0.254268184304237
,m28,13,20,80.000000000000000,0.261244998872280
,m29,14,12,48.000000000000000,0.269324995577335
,m25,15,9,36.000000000000000,0.239077776670456
,m23a,16,5,20.000000000000000,0.244639998674393
,m11,17,1,4.000000000000000,0.221799999475479
,m22a,18,2,8.000000000000000,0.230700001120567
,m23,19,46,184.000000000000000,0.231863043554451
,m24,20,4,16.000000000000000,0.230125002563000
,m21,21,28,112.000000000000000,0.225150000303984
,m16-22,22,27,108.000000000000000,0.220318518854954
,m12,23,41,164.000000000000000,0.212282926934521
,c51,24,18,72.000000000000000,0.232444444464313
,c38,25,13,52.000000000000000,0.300907694376432
,c24,26,28,112.000000000000000,0.293507148112570
,c37,27,13,52.000000000000000,0.290823076780026
,p55,28,8,32.000000000000000,0.286937501281500
,m33-34-35,29,229,916.000000000000000,0.270115721173682
,m6a,30,17,68.000000000000000,0.234529411091524
,m5,31,38,152.000000000000000,0.213321052491665
,m4,32,21,84.000000000000000,0.186861903894515
,m1a,33,13,52.000000000000000,0.234300000163225
,m14,34,6,24.000000000000000,0.202816667656104
,m14a,35,25,100.000000000000000,0.195323999524117
,m38,36,46,184.000000000000000,0.163280435554359
,m36,37,13,52.000000000000000,0.214576924076447
,mis,38,34,136.000000000000000,0.243002942818053
,p63,39,29,116.000000000000000,0.301820690261907
,p42,40,36,144.000000000000000,0.275405554307832
,p44,41,53,212.000000000000000,0.290277357933656
,p22,42,9,36.000000000000000,0.306655552652147
,p24,43,38,152.000000000000000,0.300747368680803
,p33,44,18,72.000000000000000,0.278016668226984
,p39,45,12,48.000000000000000,0.289674999813239
,p21,46,24,96.000000000000000,0.303383330504100
,qr132,47,15,60.000000000000000,0.235073331991831
,qr20,48,40,160.000000000000000,0.251359998062253
,s39,49,10,40.000000000000000,0.193170000612736
,s5,50,10,40.000000000000000,0.230930000543594
,qr65,51,30,120.000000000000000,0.196896668771903
,d22,52,10,40.000000000000000,0.177319999039173
,d16,53,10,40.000000000000000,0.187159998714924
,d9-11,54,3,12.000000000000000,0.360733330249786
,d35,55,9,36.000000000000000,0.282899995644887
,d12,56,13,52.000000000000000,0.273484612886722
,d47,57,16,64.000000000000000,0.270393755286932
,hk1,58,40,160.000000000000000,0.398884999006987
,d1,59,236,944.000000000000000,0.434342372846805
,g58,60,2,8.000000000000000,0.190200001001358
,g23,61,4,16.000000000000000,0.219974998384714
,g43,62,10,40.000000000000000,0.191080002486706
,f37,63,26,104.000000000000000,0.216603846504138
,g35,64,71,284.000000000000000,0.164108450144110
,f23,65,10,40.000000000000000,0.196739998459816
,g32,66,10,40.000000000000000,0.148690001666546
,f5,67,41,164.000000000000000,0.323002436539022
,fbeach,68,136,544.000000000000000,0.308258088196025
,g2,69,23,92.000000000000000,0.233104349478431
,d70,70,5,20.000000000000000,0.226919999718666
,b33,71,9,36.000000000000000,0.252933333317439
,s2-4,72,130,520.000000000000000,0.221219230156678
,p6,73,223,892.000000000000000,0.296056053697261
,l17,74,45,180.000000000000000,0.271751110421287
,l23_1,75,1,4.000000000000000,0.290100008249283
,t5,76,32,128.000000000000000,0.190228126011789
,m7,77,56,224.000000000000000,0.236471428136740
,m6,78,11,44.000000000000000,0.233536362648010
,m31,79,106,424.000000000000000,0.265973584550732
,m30,80,38,152.000000000000000,0.268684213098727
,m32,81,59,236.000000000000000,0.265550848286031
,m37,82,13,52.000000000000000,0.307438464118884
,g54,83,6,24.000000000000000,0.179433330893517
,t16,84,48,192.000000000000000,0.151800001040101
,l13,85,119,476.000000000000000,0.230302521285891
,n22,86,7,28.000000000000000,0.300085714885167
,n12,87,15,60.000000000000000,0.318346663316091
,s38,88,27,108.000000000000000,0.188666667099352
,p40_1,89,19,76.000000000000000,0.277068423597436
,c30-31,90,144,576.000000000000000,0.217666666540835
,l23_2,91,1,4.000000000000000,0.278400003910065
,s3,92,1,4.000000000000000,0.190400004386902
,d24_2,93,5,20.000000000000000,0.178659999370575
,d24_1,94,25,100.000000000000000,0.184560000300407
,c19-1,95,9,36.000000000000000,0.240033335155911
,n11,96,8,32.000000000000000,0.330012504011393
,b10,97,40,160.000000000000000,0.225114999711514
,t7,98,64,256.000000000000000,0.234684374881908
,t18,99,2,8.000000000000000,0.243199996650219
,s33,100,50,200.000000000000000,0.192954000234604
,d48,101,6,24.000000000000000,0.303800001740456
,p23,102,3,12.000000000000000,0.309866666793823
,m19,103,36,144.000000000000000,0.207280555533038
,m20,104,84,336.000000000000000,0.214108333168995
,g46,105,3,12.000000000000000,0.161666666467985
,l19,106,4,16.000000000000000,0.259874999523163
,c40,107,2,8.000000000000000,0.286300003528595
