OID_,subcol,ZONE_CODE,COUNT,AREA,MEAN
,wb,1,18,72.000000000000000,0.380461108353000
,b26,2,318,1272.000000000000000,0.340230188373000
,b25,3,4,16.000000000000000,0.297325000167000
,b24,4,51,204.000000000000000,0.290835293485000
,b23,5,229,916.000000000000000,0.297909169999000
,b12,6,38,152.000000000000000,0.194194735665000
,n10,7,19,76.000000000000000,0.235915788694000
,n28,8,5,20.000000000000000,0.217179998755000
,c58,9,59,236.000000000000000,0.222128813802000
,m27,10,11,44.000000000000000,0.249036362225000
,c46,11,16,64.000000000000000,0.262487504631000
,c6,12,22,88.000000000000000,0.252009093761000
,m28,13,20,80.000000000000000,0.248124999553000
,m29,14,12,48.000000000000000,0.249208332350000
,m25,15,9,36.000000000000000,0.241233333945000
,m23a,16,5,20.000000000000000,0.243780001998000
,m11,17,1,4.000000000000000,0.236200004816000
,m22a,18,2,8.000000000000000,0.237499997020000
,m23,19,46,184.000000000000000,0.235658695516000
,m24,20,4,16.000000000000000,0.243149999529000
,m21,21,28,112.000000000000000,0.237010714199000
,m16-22,22,27,108.000000000000000,0.232240740900000
,m12,23,41,164.000000000000000,0.228960974914000
,c51,24,18,72.000000000000000,0.243477778302000
,c38,25,13,52.000000000000000,0.267592306320000
,c24,26,28,112.000000000000000,0.263946427831000
,c37,27,13,52.000000000000000,0.265507686597000
,p55,28,8,32.000000000000000,0.267187498510000
,m33-34-35,29,229,916.000000000000000,0.257034934764000
,m6a,30,17,68.000000000000000,0.254999996985000
,m5,31,38,152.000000000000000,0.244194737390000
,m4,32,21,84.000000000000000,0.237733334303000
,m1a,33,13,52.000000000000000,0.234907692442000
,m14,34,6,24.000000000000000,0.224249998728000
,m14a,35,25,100.000000000000000,0.225103999972000
,m38,36,46,184.000000000000000,0.230880433775000
,m36,37,13,52.000000000000000,0.227561538036000
,mis,38,34,136.000000000000000,0.269688233733000
,p63,39,29,116.000000000000000,0.279810344351000
,p42,40,36,144.000000000000000,0.275136109028000
,p44,41,53,212.000000000000000,0.290156603422000
,p22,42,9,36.000000000000000,0.276222225693000
,p24,43,38,152.000000000000000,0.268294736743000
,p33,44,18,72.000000000000000,0.265422223343000
,p39,45,12,48.000000000000000,0.289674999813000
,p21,46,24,96.000000000000000,0.269716665149000
,qr132,47,15,60.000000000000000,0.235026666522000
,qr20,48,40,160.000000000000000,0.171994997934000
,s39,49,10,40.000000000000000,0.211860001087000
,s5,50,10,40.000000000000000,0.238760000467000
,qr65,51,30,120.000000000000000,0.191526665787000
,d22,52,10,40.000000000000000,0.431660002470000
,d16,53,10,40.000000000000000,0.410479998589000
,d9-11,54,3,12.000000000000000,0.471100002527000
,d35,55,9,36.000000000000000,0.425522218148000
,d12,56,13,52.000000000000000,0.418946153842000
,d47,57,16,64.000000000000000,0.398568747565000
,hk1,58,40,160.000000000000000,0.330615001917000
,d1,59,236,944.000000000000000,0.503031778512000
,g58,60,2,8.000000000000000,0.275550007820000
,g23,61,4,16.000000000000000,0.271025002003000
,g43,62,10,40.000000000000000,0.326449999213000
,f37,63,26,104.000000000000000,0.349611539107000
,g35,64,71,284.000000000000000,0.321581691504000
,f23,65,10,40.000000000000000,0.336369994283000
,g32,66,10,40.000000000000000,0.303779998422000
,f5,67,41,164.000000000000000,0.440770729286000
,fbeach,68,136,544.000000000000000,0.420440442860000
,g2,69,23,92.000000000000000,0.236430433781000
,d70,70,5,20.000000000000000,0.339860004187000
,b33,71,9,36.000000000000000,0.247611110409000
,s2-4,72,130,520.000000000000000,0.213109231683000
,p6,73,223,892.000000000000000,0.258779371533000
,l17,74,45,180.000000000000000,0.271542221308000
,l23_1,75,1,4.000000000000000,0.290100008249000
,t5,76,32,128.000000000000000,0.279590624385000
,m7,77,56,224.000000000000000,0.245564285932000
,m6,78,11,44.000000000000000,0.249818184159000
,m31,79,106,424.000000000000000,0.260023584343000
,m30,80,38,152.000000000000000,0.251160526354000
,m32,81,59,236.000000000000000,0.250277964240000
,m37,82,13,52.000000000000000,0.243430768068000
,g54,83,6,24.000000000000000,0.315416668852000
,t16,84,48,192.000000000000000,0.268616665776000
,l13,85,119,476.000000000000000,0.237057142774000
,n22,86,7,28.000000000000000,0.218842855522000
,n12,87,15,60.000000000000000,0.260199999809000
,s38,88,27,108.000000000000000,0.248288888622000
,p40_1,89,19,76.000000000000000,0.273526317195000
,c30-31,90,144,576.000000000000000,0.223365277155000
,l23_2,91,1,4.000000000000000,0.278400003910000
,s3,92,1,4.000000000000000,0.185499995947000
,d24_2,93,5,20.000000000000000,0.438560003042000
,d24_1,94,25,100.000000000000000,0.441248002052000
,c19-1,95,9,36.000000000000000,0.256422218349000
,n11,96,8,32.000000000000000,0.271800007671000
,b10,97,40,160.000000000000000,0.203207499161000
,t7,98,64,256.000000000000000,0.218265624251000
,t18,99,2,8.000000000000000,0.309899985790000
,s33,100,50,200.000000000000000,0.227698000371000
,d48,101,6,24.000000000000000,0.399883334835000
,p23,102,3,12.000000000000000,0.268600006898000
,m19,103,36,144.000000000000000,0.226777777490000
,m20,104,84,336.000000000000000,0.227864285665000
,g46,105,3,12.000000000000000,0.318399995565000
,l19,106,4,16.000000000000000,0.259874999523000
,c40,107,2,8.000000000000000,0.264750003815000
