OBJECTID,IN_FID,NEAR_FID,NEAR_DIST
1,0,85,5.624601407324122
2,2,82,21.424455728861975
3,3,82,0.000000000000000
4,4,82,24.549269015333532
5,8,66,31.211704056978764
6,10,103,25.562514922913085
7,24,59,48.470588000547629
8,27,59,49.114609081757813
9,38,59,18.518165908499434
10,41,57,33.392238594857467
11,42,54,44.635515290202022
12,45,53,21.183255659688712
13,49,34,34.321325212783016
14,51,22,42.154477792192587
15,52,101,25.817568593108621
16,53,100,29.745848624385044
17,54,100,30.697513580769613
18,55,101,32.906802705297281
19,56,101,39.323577502296907
20,58,4,8.548454710838813
21,66,93,12.421557089862580
22,69,81,31.319233322029071
23,70,34,8.032321448989880
24,71,47,15.900686910236022
25,74,99,42.124684975418461
26,85,80,5.454300237970908
27,90,36,36.078032559700780
28,92,16,47.742423736993175
29,93,19,29.844257665954434
30,94,19,29.844257666553155
31,97,100,33.581590507911081
32,98,100,29.745848624385044
33,100,80,19.049546823515495
34,106,101,39.323577503746264
35,107,57,45.009184880300218
36,108,57,33.392238594823432
