Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,wb,1,18,72.000000000000000,243041.750000000000000,254110.890625000000000,11069.140625000000000,251036.581597222220000,2722.219275757455800,4518658.468750000000000
,b26,2,318,1272.000000000000000,240258.531250000000000,259943.468750000000000,19684.937500000000000,246409.177034198100000,3673.281208829997900,78358118.296875000000000
,b25,3,4,16.000000000000000,272592.000000000000000,274106.062500000000000,1514.062500000000000,273219.781250000000000,597.902477056511660,1092879.125000000000000
,b24,4,51,204.000000000000000,273848.187500000000000,282259.093750000000000,8410.906250000000000,278094.119485294100000,1998.815383524409500,14182800.093750000000000
,b23,5,229,916.000000000000000,252079.015625000000000,274751.875000000000000,22672.859375000000000,264708.085971615740000,4872.551819759624800,60618151.687500000000000
,b12,6,38,152.000000000000000,258067.156250000000000,274024.125000000000000,15956.968750000000000,266053.006578947360000,4567.800532572942800,10110014.250000000000000
,n10,7,19,76.000000000000000,241281.421875000000000,257915.640625000000000,16634.218750000000000,253555.834703947360000,4227.098592310132500,4817560.859375000000000
,n28,8,5,20.000000000000000,249135.562500000000000,277591.062500000000000,28455.500000000000000,259122.825000000010000,9697.379577401345200,1295614.125000000000000
,c58,9,59,236.000000000000000,209476.625000000000000,331011.218750000000000,121534.593750000000000,277803.961334745750000,31842.659184057007000,16390433.718750000000000
,m27,10,11,44.000000000000000,256914.843750000000000,270804.812500000000000,13889.968750000000000,262522.147727272710000,4557.560989903616200,2887743.625000000000000
,c46,11,16,64.000000000000000,250094.609375000000000,258161.234375000000000,8066.625000000000000,254351.127929687500000,2130.698221408465100,4069618.046875000000000
,c6,12,22,88.000000000000000,255869.375000000000000,271128.750000000000000,15259.375000000000000,261576.850142045440000,3936.341337843870000,5754690.703125000000000
,m28,13,20,80.000000000000000,260089.078125000000000,266420.406250000000000,6331.328125000000000,262451.400781249980000,1918.032821228069000,5249028.015625000000000
,m29,14,12,48.000000000000000,260223.593750000000000,265363.187500000000000,5139.593750000000000,263281.549479166690000,1675.233909530799100,3159378.593750000000000
,m25,15,9,36.000000000000000,268277.062500000000000,270734.875000000000000,2457.812500000000000,269254.239583333310000,750.114686833138650,2423288.156250000000000
,m23a,16,5,20.000000000000000,269544.093750000000000,277428.937500000000000,7884.843750000000000,273362.068749999980000,2645.737850579081200,1366810.343750000000000
,m11,17,1,4.000000000000000,266877.531250000000000,266877.531250000000000,0.000000000000000,266877.531250000000000,0.000000000000000,266877.531250000000000
,m22a,18,2,8.000000000000000,271266.906250000000000,271961.250000000000000,694.343750000000000,271614.078125000000000,347.171875000000000,543228.156250000000000
,m23,19,46,184.000000000000000,266207.687500000000000,276014.437500000000000,9806.750000000000000,271688.326086956540000,2394.798848091806100,12497663.000000000000000
,m24,20,4,16.000000000000000,273226.718750000000000,276797.000000000000000,3570.281250000000000,274645.515625000000000,1482.945826872800100,1098582.062500000000000
,m21,21,28,112.000000000000000,268843.468750000000000,278162.000000000000000,9318.531250000000000,273351.637276785740000,1819.568623896394700,7653845.843750000000000
,m16-22,22,27,108.000000000000000,269936.062500000000000,274687.968750000000000,4751.906250000000000,272160.440972222250000,1273.407962144648100,7348331.906250000000000
,m12,23,41,164.000000000000000,268765.343750000000000,275072.937500000000000,6307.593750000000000,271963.578506097550000,1664.114376571006200,11150506.718750000000000
,c51,24,18,72.000000000000000,270924.000000000000000,278712.281250000000000,7788.281250000000000,274597.607638888880000,2795.805093045596500,4942756.937500000000000
,c38,25,13,52.000000000000000,254936.328125000000000,261811.468750000000000,6875.140625000000000,258476.968750000000000,1757.849042846654400,3360200.593750000000000
,c24,26,28,112.000000000000000,253107.390625000000000,267606.781250000000000,14499.390625000000000,256561.802455357130000,3319.394356993901100,7183730.468750000000000
,c37,27,13,52.000000000000000,251079.625000000000000,253800.718750000000000,2721.093750000000000,252658.337740384620000,640.751545618807430,3284558.390625000000000
,p55,28,8,32.000000000000000,251576.671875000000000,252487.390625000000000,910.718750000000000,252047.294921875000000,320.228140711074100,2016378.359375000000000
,m33-34-35,29,229,916.000000000000000,253154.000000000000000,261457.359375000000000,8303.359375000000000,256956.631959606980000,1895.299120076558700,58843068.718750000000000
,m6a,30,17,68.000000000000000,267426.031250000000000,278830.750000000000000,11404.718750000000000,273647.375000000000000,3340.123340146244600,4652005.375000000000000
,m5,31,38,152.000000000000000,278829.031250000000000,283673.062500000000000,4844.031250000000000,280822.829769736850000,1161.069783379337700,10671267.531250000000000
,m4,32,21,84.000000000000000,284670.093750000000000,318123.750000000000000,33453.656250000000000,293792.239583333310000,9959.138210151155400,6169637.031250000000000
,m1a,33,13,52.000000000000000,245439.343750000000000,256473.125000000000000,11033.781250000000000,249586.764423076940000,3471.059811839845700,3244627.937500000000000
,m14,34,6,24.000000000000000,264624.406250000000000,266203.500000000000000,1579.093750000000000,265500.651041666690000,562.760483497099020,1593003.906250000000000
,m14a,35,25,100.000000000000000,257266.953125000000000,263881.406250000000000,6614.453125000000000,261329.771249999990000,1810.144632979554900,6533244.281250000000000
,m38,36,46,184.000000000000000,260460.593750000000000,282326.218750000000000,21865.625000000000000,272871.912364130430000,4595.046070361665400,12552107.968750000000000
,m36,37,13,52.000000000000000,247598.062500000000000,259750.671875000000000,12152.609375000000000,253730.686298076940000,3977.925756783520700,3298498.921875000000000
,mis,38,34,136.000000000000000,246890.328125000000000,292170.968750000000000,45280.640625000000000,274437.356158088250000,7556.358240244348100,9330870.109375000000000
,p63,39,29,116.000000000000000,230791.984375000000000,250988.578125000000000,20196.593750000000000,245650.059267241390000,3990.450375589674900,7123851.718750000000000
,p42,40,36,144.000000000000000,241362.640625000000000,244685.984375000000000,3323.343750000000000,242454.423177083340000,821.150494953521390,8728359.234375000000000
,p44,41,53,212.000000000000000,240989.046875000000000,246901.656250000000000,5912.609375000000000,244010.043632075480000,1823.320373609382800,12932532.312500000000000
,p22,42,9,36.000000000000000,248217.906250000000000,251483.734375000000000,3265.828125000000000,249440.928819444440000,1073.801514053027400,2244968.359375000000000
,p24,43,38,152.000000000000000,248733.187500000000000,256124.078125000000000,7390.890625000000000,252611.312088815790000,1899.646561473121200,9599229.859375000000000
,p33,44,18,72.000000000000000,243581.859375000000000,248116.234375000000000,4534.375000000000000,245996.846354166660000,1304.622814745553800,4427943.234375000000000
,p39,45,12,48.000000000000000,238333.234375000000000,243419.937500000000000,5086.703125000000000,241210.941406250000000,1890.594171107120200,2894531.296875000000000
,p21,46,24,96.000000000000000,255572.687500000000000,261760.890625000000000,6188.203125000000000,258779.029947916660000,1888.365872056590400,6210696.718750000000000
,qr132,47,15,60.000000000000000,251572.937500000000000,254742.453125000000000,3169.515625000000000,252615.214583333320000,987.525071881418630,3789228.218750000000000
,qr20,48,40,160.000000000000000,269659.500000000000000,272644.312500000000000,2984.812500000000000,271366.265625000000000,694.809910773713000,10854650.625000000000000
,s39,49,10,40.000000000000000,288138.406250000000000,301583.375000000000000,13444.968750000000000,293617.590625000010000,4930.558697789843800,2936175.906250000000000
,s5,50,10,40.000000000000000,286311.843750000000000,287046.156250000000000,734.312500000000000,286740.056250000020000,251.973812328998550,2867400.562500000000000
,qr65,51,30,120.000000000000000,217122.218750000000000,338747.968750000000000,121625.750000000000000,297673.381249999980000,39050.538183833705000,8930201.437500000000000
,d22,52,10,40.000000000000000,262342.937500000000000,267519.906250000000000,5176.968750000000000,265338.668750000010000,1493.137818605208600,2653386.687500000000000
,d16,53,10,40.000000000000000,253342.328125000000000,264408.125000000000000,11065.796875000000000,259229.840625000010000,4503.042748618563600,2592298.406250000000000
,d9-11,54,3,12.000000000000000,265986.906250000000000,269969.625000000000000,3982.718750000000000,268181.854166666690000,1651.233285212234700,804545.562500000000000
,d35,55,9,36.000000000000000,249588.546875000000000,256936.187500000000000,7347.640625000000000,255120.930555555560000,2380.719679345567800,2296088.375000000000000
,d12,56,13,52.000000000000000,245075.500000000000000,250870.828125000000000,5795.328125000000000,247243.823317307690000,1382.897553141310900,3214169.703125000000000
,d47,57,16,64.000000000000000,254725.062500000000000,257322.328125000000000,2597.265625000000000,255763.817382812500000,799.623315911653660,4092221.078125000000000
,hk1,58,40,160.000000000000000,232720.687500000000000,254325.640625000000000,21604.953125000000000,239926.183593750000000,4020.594866515632500,9597047.343750000000000
,d1,59,236,944.000000000000000,209486.171875000000000,270196.968750000000000,60710.796875000000000,258651.847921080510000,9186.996826631651900,61041836.109375000000000
,g23,60,4,16.000000000000000,243156.406250000000000,251534.656250000000000,8378.250000000000000,245450.875000000000000,3525.202461356608200,981803.500000000000000
,g43,61,10,40.000000000000000,265476.406250000000000,266281.031250000000000,804.625000000000000,265813.278125000010000,265.800265133096160,2658132.781250000000000
,f37,62,26,104.000000000000000,266755.406250000000000,269178.875000000000000,2423.468750000000000,268090.347355769250000,712.885947482020240,6970349.031250000000000
,g35,63,71,284.000000000000000,265250.375000000000000,274922.187500000000000,9671.812500000000000,271756.666373239420000,2348.224834098914000,19294723.312500000000000
