FID,subcol,notes,perim,area,pa_ratio,SUM_AREA,MEAN,MEAN_1,MEAN_12,MEAN_12_13,NEAR_RANK,NEAR_RANK_1,MEAN_12_13_14
0,wb, ,81.7445984,87.9503021,0.929442,16.87140083,251036.581597,26.33333333,186.2255656,11.4080739,1,1,-16.18408203
1,b26,"merged, counted this partial",270.5939941,1324.660034,0.204274,3202.060059,246409.177034,27.70440252,177.3694968,12.59481639,,1,-29.39028412
2,b25, ,26.0655994,22.1588001,1.1763099,286.1733818,273219.781250,38.75,230.9415855,6.195719123,1,1,-43.80384445
3,b24, ,85.960701,216.1300049,0.397726,10444.3469,278094.119485,53.84313725,209.478913,2.835879679,1,1,-44.96642169
4,b23, ,244.2810059,938.5189819,0.260283,4151.839844,264708.085972,46.13973799,173.8433064,7.764525545,1,1,-40.1327517
5,b12, ,84.6094971,161.8430023,0.522789,406.0069885,266053.006579,31.76315789,210.0476765,8.083384137,,1,-32.03591427
6,n10, ,57.0497017,70.743103,0.806434,,253555.834704,0,248.6481002,21.16805177,,1,16.03505345
7,n28, ,38.4487,25.2406006,1.52329,,259122.825000,6.2,239.4467224,14.85568752,,,23.23808594
8,c58, ,96.5752029,241.4779968,0.399934,,277803.961335,21.52542373,267.8264703,21.56602257,1,1,57.37884004
9,m27, ,32.0726013,47.5191002,0.674941,145.5136853,262522.147727,10.45454545,237.7553711,12.94154956,,,-10.32297585
10,c46, ,60.0834007,64.5150986,0.931309,582.0519943,254351.127930,8.5,215.9975328,13.15268373,1,1,37.68780518
11,c6, ,87.376503,85.0048981,1.0279,,261576.850142,3,242.7472291,14.98184126,,,9.241255327
12,m28, ,57.4328995,80.6858978,0.711809,289.5459957,262451.400781,10.1,237.2343613,12.88820682,,,-8.616845703
13,m29, ,49.9878998,55.2020988,0.905544,909.9690549,263281.549479,14.25,233.3226789,11.76842841,,,-8.529052734
14,m25, ,27.7171993,36.0180016,0.769538,,269254.239583,23.77777778,237.914978,9.778566255,,,-19.31705729
15,m23a, ,31.3302002,32.3485985,0.968516,,273362.068750,32,239.3678009,7.938889694,,,-18.175
16,m11, ,16.5737,9.7281904,1.70368,226.9961731,266877.531250,35,206.4917908,7.298242092,,,-21.25292969
17,m22a, ,9.7237902,5.4099598,1.79739,,271614.078125,28.5,238.0828247,8.622315884,,,-21.48095703
18,m23, ,106.6790009,193.526001,0.551237,1060.215012,271688.326087,34.26086957,227.70429,7.229237888,,,-20.36449134
19,m24, ,22.1793995,19.9820995,1.10996,19.52260017,274645.515625,25.25,252.9625931,10.3918612,,,-18.81225586
