Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
,wb,1,18,72.000000000000000,20,33,13,26.333333333333332,2.886751345948129,474.000000000000000,10,26,20,26
,b26,2,318,1272.000000000000000,13,46,33,27.704402515723270,6.296203767010477,8810.000000000000000,33,24,13,26
,b25,3,4,16.000000000000000,37,40,3,38.750000000000000,1.089724735885169,155.000000000000000,3,39,37,39
,b24,4,51,204.000000000000000,47,59,12,53.843137254901961,2.966297943728013,2746.000000000000000,13,55,48,54
,b23,5,229,916.000000000000000,19,81,62,46.139737991266372,13.669448991792311,10566.000000000000000,53,47,19,45
,b12,6,38,152.000000000000000,19,59,40,31.763157894736842,10.842009452821433,1207.000000000000000,21,25,20,28
,n10,7,19,76.000000000000000,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,0,0
,n28,8,5,20.000000000000000,0,26,26,6.200000000000000,10.087616170334792,31.000000000000000,3,0,5,0
,c58,9,59,236.000000000000000,0,93,93,21.525423728813561,20.996655046114814,1270.000000000000000,34,0,3,16
,m27,10,11,44.000000000000000,6,21,15,10.454545454545455,5.280558447802767,115.000000000000000,7,6,8,7
,c46,11,16,64.000000000000000,4,11,7,8.500000000000000,1.767766952966369,136.000000000000000,7,8,4,8
,c6,12,22,88.000000000000000,0,13,13,3.000000000000000,3.302891295379082,66.000000000000000,8,2,4,2
,m28,13,20,80.000000000000000,7,15,8,10.100000000000000,2.487971060924948,202.000000000000000,9,7,9,10
,m29,14,12,48.000000000000000,12,17,5,14.250000000000000,1.534329386626831,171.000000000000000,6,14,17,14
,m25,15,9,36.000000000000000,23,25,2,23.777777777777779,0.785674201318393,214.000000000000000,3,23,25,24
,m23a,16,5,20.000000000000000,26,38,12,32.000000000000000,4.000000000000000,160.000000000000000,5,26,26,32
,m11,17,1,4.000000000000000,35,35,0,35.000000000000000,0.000000000000000,35.000000000000000,1,35,35,35
,m22a,18,2,8.000000000000000,28,29,1,28.500000000000000,0.500000000000000,57.000000000000000,2,28,28,28
,m23,19,46,184.000000000000000,29,45,16,34.260869565217391,3.390746888407870,1576.000000000000000,15,32,29,34
,m24,20,4,16.000000000000000,22,28,6,25.250000000000000,2.384848003542364,101.000000000000000,4,22,22,24
,m21,21,28,112.000000000000000,23,35,12,29.714285714285715,2.561488725291591,832.000000000000000,9,30,26,30
,m16-22,22,27,108.000000000000000,32,37,5,35.000000000000000,1.440164599646191,945.000000000000000,6,36,32,35
,m12,23,41,164.000000000000000,35,47,12,40.487804878048777,3.178601864906358,1660.000000000000000,13,37,35,40
,c51,24,18,72.000000000000000,22,31,9,26.833333333333332,2.608745973749755,483.000000000000000,9,29,22,28
,c38,25,13,52.000000000000000,0,9,9,3.692307692307693,2.430087538297125,48.000000000000000,6,4,5,4
,c24,26,28,112.000000000000000,0,16,16,4.392857142857143,4.442805465937402,123.000000000000000,11,2,6,3
,c37,27,13,52.000000000000000,1,4,3,2.846153846153846,0.661717328234048,37.000000000000000,4,3,1,3
,p55,28,8,32.000000000000000,3,5,2,4.250000000000000,0.661437827766148,34.000000000000000,3,4,3,4
,m33-34-35,29,229,916.000000000000000,3,18,15,9.694323144104803,4.303244749205001,2220.000000000000000,16,5,3,9
