OID_,croz_selec,ZONE_CODE,COUNT,AREA,MEAN
,wb,1,22,88.000000000000000,0.376313638958000
,b26,2,333,1332.000000000000000,0.336766366218000
,b25,3,5,20.000000000000000,0.293079996109000
,b24,4,56,224.000000000000000,0.287257142897000
,b23,5,236,944.000000000000000,0.287276270152000
,b12,6,41,164.000000000000000,0.176436584534000
,n10,7,17,68.000000000000000,0.201617645867000
,n28,8,8,32.000000000000000,0.208962500095000
,c58,9,63,252.000000000000000,0.216444443852000
,m27,10,13,52.000000000000000,0.223776922776000
,c46,11,17,68.000000000000000,0.240511762745000
,c6,12,21,84.000000000000000,0.219914285200000
,m28,13,19,76.000000000000000,0.228921053441000
,m29,14,14,56.000000000000000,0.235328570008000
,m25,15,9,36.000000000000000,0.220555557145000
,m23a,16,7,28.000000000000000,0.231714284846000
,m11,17,2,8.000000000000000,0.232249997556000
,m22a,18,1,4.000000000000000,0.221399992704000
,m23,19,46,184.000000000000000,0.229902172866000
,m24,20,5,20.000000000000000,0.212859997153000
,m21,21,33,132.000000000000000,0.215548484614000
,m16-22,22,24,96.000000000000000,0.220554166784000
,m12,23,46,184.000000000000000,0.223897826412000
,c51,24,18,72.000000000000000,0.240388890107000
,c38,25,13,52.000000000000000,0.239815383003000
,c24,26,30,120.000000000000000,0.240246666968000
,c37,27,15,60.000000000000000,0.240820001562000
,p55,28,8,32.000000000000000,0.243025001138000
,m33-34-35,29,237,948.000000000000000,0.252052742029000
,m6a,30,16,64.000000000000000,0.247831250541000
,m5,31,37,148.000000000000000,0.234667565372000
,m4,32,20,80.000000000000000,0.226685001701000
,m1a,33,10,40.000000000000000,0.233569999039000
,m14,34,6,24.000000000000000,0.220350004733000
,m14a,35,26,104.000000000000000,0.221184615332000
,m38,36,53,212.000000000000000,0.202777358721000
,m36,37,12,48.000000000000000,0.203691666325000
,mis,38,38,152.000000000000000,0.239113158693000
,p63,39,26,104.000000000000000,0.265453845836000
,p42,40,39,156.000000000000000,0.277546152090000
,p44,41,53,212.000000000000000,0.283288675659000
,p22,42,10,40.000000000000000,0.262290002406000
,p24,43,37,148.000000000000000,0.238921621361000
,p33,44,18,72.000000000000000,0.259866666463000
,p39,45,13,52.000000000000000,0.287499996332000
,p21,46,24,96.000000000000000,0.234908331806000
,qr132,47,15,60.000000000000000,0.237053331733000
,qr20,48,39,156.000000000000000,0.143141025916000
,s39,49,11,44.000000000000000,0.204454542561000
,s5,50,11,44.000000000000000,0.226754544811000
,qr65,51,32,128.000000000000000,0.189128123689000
,d22,52,6,24.000000000000000,0.388733337323000
,d16,53,12,48.000000000000000,0.398224999507000
,d9-11,54,2,8.000000000000000,0.457049995661000
,d35,55,9,36.000000000000000,0.371466669771000
,d12,56,11,44.000000000000000,0.368181816556000
,d47,57,14,56.000000000000000,0.335957146117000
,hk1,58,47,188.000000000000000,0.290976594103000
,d1,59,239,956.000000000000000,0.492925942443000
,g23,60,3,12.000000000000000,0.304133325815000
,g43,61,11,44.000000000000000,0.321500000629000
,f37,62,27,108.000000000000000,0.344303702867000
,g35,63,77,308.000000000000000,0.317110391019000
,f23,64,10,40.000000000000000,0.331340000033000
,g32,65,10,40.000000000000000,0.298889997602000
,f5,66,40,160.000000000000000,0.443097499758000
,fbeach,67,139,556.000000000000000,0.492092086042000
,g2,68,23,92.000000000000000,0.240526088554000
,d70,69,5,20.000000000000000,0.315680003166000
,b33,70,12,48.000000000000000,0.224499999235000
,s2-4,71,134,536.000000000000000,0.204818656195000
,p6,72,228,912.000000000000000,0.232171490985000
,l17,73,43,172.000000000000000,0.264895349394000
,l23_1,74,1,4.000000000000000,0.282499998808000
,t5,75,33,132.000000000000000,0.272863635511000
,m7,76,53,212.000000000000000,0.241447169545000
,m6,77,12,48.000000000000000,0.241799999028000
,m31,78,114,456.000000000000000,0.250514034378000
,m30,79,37,148.000000000000000,0.241313513469000
,m32,80,63,252.000000000000000,0.245120634399000
,m37,81,13,52.000000000000000,0.239023076800000
,g54,82,7,28.000000000000000,0.310257136822000
,t16,83,47,188.000000000000000,0.266253188569000
,l13,84,120,480.000000000000000,0.228545833503000
,n22,85,7,28.000000000000000,0.193099996873000
,n12,86,18,72.000000000000000,0.243183334668000
,s38,87,26,104.000000000000000,0.252950002368000
,p40_1,88,17,68.000000000000000,0.282511765466000
,c30-31,89,154,616.000000000000000,0.221440259512000
,l23_2,90,1,4.000000000000000,0.262300014496000
,d24_2,91,7,28.000000000000000,0.398285716772000
,d24_1,92,27,108.000000000000000,0.397003705855000
,c19-1,93,12,48.000000000000000,0.235224998246000
,n11,94,10,40.000000000000000,0.270969997346000
,b10,95,49,196.000000000000000,0.179077550769000
,t7,96,61,244.000000000000000,0.210929508092000
,t18,97,2,8.000000000000000,0.306000009179000
,s33,98,52,208.000000000000000,0.230269230616000
,d48,99,7,28.000000000000000,0.355742858989000
,p23,100,4,16.000000000000000,0.257249999791000
,m19,101,38,152.000000000000000,0.213739474745000
,m20,102,88,352.000000000000000,0.205455681817000
,g46,103,4,16.000000000000000,0.313724994659000
,l19,104,5,20.000000000000000,0.266280001402000
,c40,105,2,8.000000000000000,0.235150001943000
,g58,106,3,12.000000000000000,0.254866669575000
