FID,OBJECTID,Datum,WGS_84,waypoint,lat,lon,date_time,photo,date_tim_1,accuracy,Field10,INITIALS,DATE,NEST_CONTE,NOTES
0,1,WP,DM,721,-77.461972000000003,169.219178000000000,12/14/2016 15:06, , ,0.000000000000000, , ,, , 
1,2,WP,DM,722,-77.462067000000005,169.221532999999990,12/14/2016 15:08, , ,0.000000000000000, , ,, , 
2,3,WP,DM,723,-77.462159999999997,169.222058000000000,12/14/2016 15:08, , ,0.000000000000000, , ,, , 
3,4,WP,DM,724,-77.462237000000002,169.223017000000000,12/14/2016 15:09,Y, ,0.000000000000000, , ,, , 
4,5,WP,DM,725,-77.462689999999995,169.224799999999990,12/14/2016 15:32, , ,0.000000000000000, , ,, , 
5,6,WP,DM,726,-77.462812000000000,169.224287000000000,12/14/2016 15:34, , ,0.000000000000000, , ,, , 
6,7,WP,DM,727,-77.462732000000003,169.223950000000000,12/14/2016 15:35, , ,6.600000000000000, , ,, , 
7,8,WP,DM,728,-77.462479000000002,169.223470999999990,12/14/2016 15:38, , ,5.700000000000000, , ,, , 
8,9,WP,DM,729,-77.462435999999997,169.222725000000000,12/14/2016 15:40, , ,5.400000000000000, , ,, , 
9,10,WP,DM,730,-77.462366000000003,169.222839999999990,12/14/2016 15:43, , ,5.400000000000000, , ,, , 
10,11,WP,DM,731,-77.461867999999996,169.223171000000010,12/14/2016 15:46, , ,0.000000000000000, , ,, , 
11,12,WP,DM,732,-77.461806999999993,169.222906999999990,12/14/2016 15:46, , ,0.000000000000000, , ,, , 
12,13,WP,DM,733,-77.461687999999995,169.223234999999990,12/14/2016 15:47, ,1E,6.400000000000000, , ,, , 
13,14,WP,DM,734,-77.461494000000002,169.222664000000010,12/14/2016 15:49, , ,0.000000000000000, , ,, , 
14,15,WP,DM,735,-77.461358000000004,169.223606999999990,12/14/2016 15:50, ,1E,4.800000000000000, , ,, , 
15,16,WP,DM,736,-77.461108999999993,169.223018999999990,12/14/2016 15:51, , ,0.000000000000000, , ,, , 
16,17,WP,DM,737,-77.461033000000000,169.223750000000000,12/14/2016 15:52, , ,5.300000000000000, , ,, , 
17,18,WP,DM,738,-77.460831999999996,169.223192000000010,12/14/2016 15:54, , ,0.000000000000000, , ,, , 
18,19,WP,DM,739,-77.460813000000002,169.222844000000010,12/14/2016 15:55, , ,0.000000000000000, , ,, , 
19,20,WP,DM,740,-77.460667999999998,169.223874999999990,12/14/2016 15:57, , ,0.000000000000000, , ,, , 
20,21,WP,DM,741,-77.460487999999998,169.223705999999990,12/14/2016 15:59, ,1E,5.600000000000000, , ,, , 
21,22,WP,DM,742,-77.460351000000003,169.223687000000010,12/14/2016 16:00, ,1E,4.900000000000000, , ,, , 
22,23,WP,DM,743,-77.460357999999999,169.224734000000010,12/14/2016 16:01, , ,0.000000000000000, , ,, , 
23,24,WP,DM,744,-77.460093999999998,169.225308000000010,12/14/2016 16:04, ,1E,5.100000000000000, , ,, , 
24,25,WP,DM,745,-77.460194000000001,169.226997000000010,12/14/2016 16:06, , ,0.000000000000000, , ,, , 
25,26,WP,DM,746,-77.459760000000003,169.224984000000010,12/14/2016 16:10, , ,0.000000000000000, , ,, , 
26,27,WP,DM,747,-77.460131000000004,169.224319000000010,12/14/2016 16:13, , ,0.000000000000000, , ,, , 
27,28,WP,DM,748,-77.460102000000006,169.223935000000010,12/14/2016 16:14, , ,0.000000000000000, , ,, , 
28,29,WP,DM,749,-77.460049999999995,169.223750999999990,12/14/2016 16:14, , ,0.000000000000000, , ,, , 
29,30,WP,DM,750,-77.459691000000007,169.223468000000000,12/14/2016 16:17, , ,4.700000000000000, , ,, , 
30,31,WP,DM,751,-77.459567000000007,169.223417000000010,12/14/2016 16:18, ,1E,5.000000000000000, , ,, , 
31,32,WP,DM,752,-77.459377000000003,169.223052999999990,12/14/2016 16:19,Y,1E,5.200000000000000,WHITE EGG?, ,, , 
32,33,WP,DM,753,-77.458933999999999,169.223583999999990,12/14/2016 16:25, , ,0.000000000000000, , ,, , 
33,34,WP,DM,754,-77.458663999999999,169.222561000000010,12/14/2016 16:28, , ,0.000000000000000, , ,, , 
34,35,WP,DM,755,-77.458393000000001,169.224661000000000,12/14/2016 16:30,Y,1E,5.600000000000000, , ,, , 
35,36,WP,DM,756,-77.458185999999998,169.224171000000010,12/14/2016 16:32,Y, ,5.900000000000000, , ,, , 
36,37,WP,DM,757,-77.458134000000001,169.224931000000000,12/14/2016 16:33, , ,0.000000000000000, , ,, , 
37,38,WP,DM,758,-77.457908000000003,169.224441000000010,12/14/2016 16:37, , ,0.000000000000000, , ,, , 
38,39,WP,DM,759,-77.457828000000006,169.224927000000010,12/14/2016 16:38,Y,1E1C,4.700000000000000,HATCHING, ,, , 
39,40,WP,DM,760,-77.457747999999995,169.223696999999990,12/14/2016 16:49, , ,0.000000000000000,TIGHT SITTER, ,, , 
40,41,WP,DM,761,-77.457638000000003,169.224765999999990,12/14/2016 16:50, , ,0.000000000000000,TIGHT SITTER, ,, , 
41,42,WP,DM,762,-77.457274999999996,169.222455000000000,12/14/2016 17:25, , ,0.000000000000000, , ,, , 
42,43,WP,DM,763,-77.457650000000001,169.220084000000010,12/14/2016 17:40, ,NA,0.000000000000000,CLUB; 6 TOT, ,, , 
43,44,WP,DM,764,-77.457733000000005,169.219166000000000,12/14/2016 17:43, , ,7.100000000000000, , ,, , 
44,45,WP,DM,765,-77.457558000000006,169.217680000000000,12/14/2016 17:46, , ,0.000000000000000, , ,, , 
45,46,WP,DM,766,-77.457089999999994,169.216026000000000,12/14/2016 17:49,Y, ,0.000000000000000, , ,, , 
46,47,WP,DM,767,-77.456879999999998,169.217849000000000,12/14/2016 17:53, ,1E,5.900000000000000, , ,, , 
47,48,WP,DM,768,-77.456621999999996,169.218709999999990,12/14/2016 17:54, , ,0.000000000000000, , ,, , 
48,49,WP,DM,769,-77.456387000000007,169.218213999999990,12/14/2016 17:56, , ,0.000000000000000, , ,, , 
49,50,WP,DM,770,-77.456339000000000,169.218009000000000,12/14/2016 17:57, , ,0.000000000000000, , ,, , 
50,51,WP,DM,771,-77.456157000000005,169.217492999999990,12/14/2016 17:59,Y,1E,5.200000000000000, , ,, , 
51,52,WP,DM,772,-77.455916999999999,169.217530000000010,12/14/2016 18:00, , ,5.900000000000000, , ,, , 
52,53,WP,DM,773,-77.455761999999993,169.218095000000010,12/14/2016 18:02, , ,0.000000000000000, , ,, , 
53,54,WP,DM,774,-77.455582000000007,169.218299000000000,12/14/2016 18:03, , ,0.000000000000000, , ,, , 
54,55,WP,DM,775,-77.455179999999999,169.217991000000010,12/14/2016 18:07, ,NA,0.000000000000000,"TIGHT SITTER ON GOOD SC, NO CONTENTS", ,, , 
55,56,WP,DM,776,-77.455167000000003,169.216871000000000,12/14/2016 18:08,Y,2E,6.400000000000000, , ,, , 
56,57,WP,DM,777,-77.454752999999997,169.216885999999990,12/14/2016 18:11, ,NA,0.000000000000000,"DISTRESS CALL ON GOOD SC, NO CONTENTS", ,, , 
57,58,WP,DM,778,-77.454651999999996,169.219699999999990,12/14/2016 18:15, , ,0.000000000000000, , ,, , 
58,59,WP,DM,779,-77.454340000000002,169.220049999999990,12/14/2016 18:17, , ,0.000000000000000, , ,, , 
59,60,WP,DM,780,-77.454245000000000,169.223120999999990,12/14/2016 18:22, ,NA,0.000000000000000,"COP AT SC, NO CONTENTS", ,, , 
60,61,WP,DM,781,-77.454179999999994,169.215705000000010,12/14/2016 18:30, , ,0.000000000000000, , ,, , 
61,62,WP,DM,782,-77.453072000000006,169.212574999999990,12/14/2016 18:46, , ,0.000000000000000, , ,, , 
62,63,WP,DM,783,-77.452853000000005,169.212403999999990,12/14/2016 18:48, , ,0.000000000000000, , ,, , 
63,64,WP,DM,784,-77.452768000000006,169.211926000000010,12/14/2016 18:49, , ,0.000000000000000, , ,, , 
64,65,WP,DM,785,-77.452900000000000,169.211840999999990,12/14/2016 18:50, , ,0.000000000000000, , ,, , 
65,66,WP,DM,786,-77.453051000000002,169.212011999999990,12/14/2016 18:51,Y,1E,5.100000000000000,BONE COLLECTOR, ,, , 
66,67,WP,DM,787,-77.452762000000007,169.213914999999990,12/14/2016 18:55, , ,0.000000000000000, , ,, , 
67,68,WP,DM,788,-77.452557999999996,169.213406999999990,12/14/2016 18:56,Y,1E,0.000000000000000, , ,, , 
68,69,WP,DM,789,-77.452472999999998,169.213422000000010,12/14/2016 18:58, , ,0.000000000000000, , ,, , 
69,70,WP,DM,790,-77.452387999999999,169.213705000000000,12/14/2016 18:58, , ,5.800000000000000, , ,, , 
70,71,WP,DM,791,-77.452286000000001,169.214318999999990,12/14/2016 19:00,Y, ,5.600000000000000, , ,, , 
71,72,WP,DM,792,-77.452218999999999,169.214484000000000,12/14/2016 19:01, ,1E,6.100000000000000, , ,, , 
72,73,WP,DM,793,-77.452157999999997,169.214842000000000,12/14/2016 19:02, , ,0.000000000000000, , ,, , 
73,74,WP,DM,794,-77.452089000000001,169.214800000000000,12/14/2016 19:02, , ,0.000000000000000, , ,, , 
74,75,WP,DM,795,-77.452033000000000,169.214778000000000,12/14/2016 19:03, , ,0.000000000000000, , ,, , 
75,76,WP,DM,796,-77.451819000000000,169.214508999999990,12/14/2016 19:06, ,1E,5.800000000000000,PIPPED, ,, , 
76,77,WP,DM,797,-77.451752999999997,169.215379000000010,12/14/2016 19:08, , ,0.000000000000000, , ,, , 
77,78,WP,DM,798,-77.451626000000005,169.215754000000000,12/14/2016 19:10,Y, ,0.000000000000000, , ,, , 
78,79,WP,DM,799,-77.451479000000006,169.216112000000010,12/14/2016 19:12, , ,0.000000000000000, , ,, , 
