"col","season","date","subcol","ch_ct","notes"
"croz","9596",NA,"10",608,NA
"croz","9798",NA,"10",361,NA
"croz","9697",NA,"11",14,NA
"croz","9798",NA,"11",7,NA
"croz","9900",NA,"11",16,NA
"croz","0001",NA,"11",16,"AH"
"croz","0203",2003-01-16,"11",17,NA
"croz","0304",2004-01-16,"11",1,NA
"croz","0405",2005-01-12,"11",18,NA
"croz","0506",2006-01-09,"11",17,NA
"croz","0607",2007-01-08,"11",23,NA
"croz","0708",2008-01-13,"11",20,NA
"croz","0809",2009-01-12,"11",14,NA
"croz","0910",2010-01-19,"11",12,NA
"croz","1011",2011-01-16,"11",21,NA
"croz","1112",2012-01-15,"11",23,NA
"croz","1213",2013-01-11,"11",23,NA
"croz","1314",2014-01-12,"11",19,NA
"croz","1415",2015-01-13,"11",21,NA
"croz","1516",2015-01-13,"11",12,NA
"croz","9596",NA,"12",130,NA
"croz","9697",NA,"12",290,NA
"croz","9798",NA,"12",167,NA
"croz","9899",NA,"12",340,NA
"croz","9900",NA,"12",188,NA
"croz","0001",NA,"12",188,"AG"
"croz","0203",2003-01-16,"12",207,NA
"croz","0304",2004-01-16,"12",70,NA
"croz","0405",2005-01-12,"12",245,NA
"croz","0506",2006-01-09,"12",273,NA
"croz","0607",2007-01-08,"12",322.75,NA
"croz","0708",2008-01-13,"12",305.666666666667,NA
"croz","0809",2009-01-12,"12",311,"suggest do not use, little separation between 12 and 8 possibly not visible on aerial"
"croz","0910",2010-01-19,"12",283,NA
"croz","1011",2011-01-16,"12",344,NA
"croz","1112",2012-01-15,"12",280.333333333333,NA
"croz","1213",2013-01-11,"12",252.5,NA
"croz","1314",2014-01-12,"12",285,NA
"croz","1415",2015-01-13,"12",296.5,NA
"croz","1516",2015-01-13,"12",263,NA
"croz","9596",NA,"13",173,NA
"croz","9596",NA,"14",1,NA
"croz","9697",NA,"14",52,NA
"croz","9798",NA,"14",24,NA
"croz","9900",NA,"14",30,NA
"croz","0001",NA,"14",30,"A"
"croz","0203",2003-01-16,"14",34,NA
"croz","0304",2004-01-16,"14",8,NA
"croz","0405",2005-01-12,"14",33,NA
"croz","0506",2006-01-09,"14",38,NA
"croz","0607",2007-01-08,"14",53.75,NA
"croz","0708",2008-01-13,"14",53,NA
"croz","0809",2009-01-12,"14",50,NA
"croz","0910",2010-01-19,"14",43,NA
"croz","1011",2011-01-16,"14",53,NA
"croz","1112",2012-01-15,"14",39,NA
"croz","1213",2013-01-11,"14",36,NA
"croz","1314",2014-01-12,"14",47,NA
"croz","1415",2015-01-13,"14",46,NA
"croz","1516",2015-01-13,"14",41,NA
"croz","9697",NA,"14a",52,NA
"croz","9798",NA,"14a",23,NA
"croz","9900",NA,"14a",58,NA
"croz","0001",NA,"14a",58,"B"
"croz","0203",2003-01-16,"14a",55,NA
"croz","1314",2014-01-12,"14a",164.666666666667,NA
"croz","1415",2015-01-13,"14a",175,NA
"croz","0304",2004-01-16,"14a",21,NA
"croz","0405",2005-01-12,"14a",64,NA
"croz","0506",2006-01-09,"14a",107,NA
"croz","0607",2007-01-08,"14a",127.75,NA
"croz","0708",2008-01-13,"14a",119,NA
"croz","0809",2009-01-12,"14a",117,NA
"croz","0910",2010-01-19,"14a",108,NA
"croz","1011",2011-01-16,"14a",173,NA
"croz","1112",2012-01-15,"14a",159,NA
"croz","1213",2013-01-11,"14a",121,NA
"croz","1516",2015-01-13,"14a",133,NA
"croz","9899",NA,"15",45,NA
"croz","0304",2004-01-16,"15",16,NA
"croz","0203",2003-01-16,"15-17",306,NA
"croz","0405",2005-01-12,"15-17",371,"15 & 17 are merged"
"croz","0506",2006-01-09,"15-17",471,NA
"croz","0607",2007-01-08,"15-17",581.25,NA
"croz","0708",2008-01-13,"15-17",550.333333333333,NA
"croz","0809",2009-01-12,"15-17",591,"15+17 distinct between terrace (upper) and beach(below berm), might be obvious from aerial?  See numbers below totals"
"croz","0910",2010-01-19,"15-17",544,NA
"croz","1011",2011-01-16,"15-17",541,NA
"croz","9596",NA,"15-17",430,NA
"croz","9697",NA,"15-17",514,NA
"croz","9798",NA,"15-17",284,NA
"croz","9899",NA,"15-17",544,NA
"croz","9900",NA,"15-17",283,NA
"croz","0001",NA,"15-17",283,"C"
"croz","9596",NA,"16-22",92,NA
"croz","9697",NA,"16-22",82,NA
"croz","9798",NA,"16-22",50,NA
"croz","9899",NA,"16-22",107,NA
"croz","9900",NA,"16-22",81,NA
"croz","1314",2014-01-12,"16-22",147.333333333333,NA
"croz","1415",2015-01-13,"16-22",160,NA
"croz","1516",2015-01-13,"16-22",134.5,NA
"croz","0203",2003-01-16,"16-22",152,NA
"croz","1112",2012-01-15,"16-22",187,NA
"croz","1213",2013-01-11,"16-22",123,NA
"croz","0304",2004-01-16,"16-22",29,"22 & 16 are merged, impossible to draw a line"
"croz","0405",2005-01-12,"16-22",117,"22 & 16 are merged, impossible to draw a line"
"croz","0506",2006-01-09,"16-22",147,NA
"croz","0607",2007-01-08,"16-22",166.5,NA
"croz","0708",2008-01-13,"16-22",147,NA
"croz","0809",2009-01-12,"16-22",143,NA
"croz","0910",2010-01-19,"16-22",132,"chick # av of 5 good counts"
"croz","1011",2011-01-16,"16-22",189,"chick # av of 5 good counts"
"croz","0001",NA,"16-22",81,"AF"
"croz","0304",2004-01-16,"17",95,NA
"croz","9596",NA,"18",259,NA
"croz","9697",NA,"18",325,NA
"croz","9798",NA,"18",183,NA
"croz","9899",NA,"18",353,NA
"croz","9900",NA,"18",253,NA
"croz","0001",NA,"18",253,"D"
"croz","0203",2003-01-16,"18",216,NA
"croz","0304",2004-01-16,"18",79,NA
"croz","0405",2005-01-12,"18",277,NA
