"","col","season","subcol","active_ct","ch_ct","prod","area_name"
"1","croz","0405","m11",19,18,0.947368421052632,"m"
"2","croz","0506","m11",17,17,1,"m"
"3","croz","0607","m11",15,23,1.53333333333333,"m"
"4","croz","0708","m11",15,20,1.33333333333333,"m"
"5","croz","0809","m11",16,14,0.875,"m"
"6","croz","0910","m11",14,12,0.857142857142857,"m"
"7","croz","1011","m11",20,21,1.05,"m"
"8","croz","1112","m11",17.75,23,1.29577464788732,"m"
"9","croz","1213","m11",16,23,1.4375,"m"
"10","croz","1314","m11",19,19,1,"m"
"11","croz","1415","m11",20.3333333333333,21,1.0327868852459,"m"
"12","croz","1516","m11",22,12,0.545454545454545,"m"
"13","croz","1617","m11",24,25,1.04166666666667,"m"
"14","croz","1718","m11",23,31,1.34782608695652,"m"
"15","croz","0405","m12",266,245,0.921052631578947,"m"
"16","croz","0506","m12",256,273,1.06640625,"m"
"17","croz","0607","m12",235,322.75,1.37340425531915,"m"
"18","croz","0708","m12",208.25,305.666666666667,1.46778711484594,"m"
"19","croz","0809","m12",301,311,1.03322259136213,"m"
"20","croz","0910","m12",269,283,1.05204460966543,"m"
"21","croz","1112","m12",265,280.333333333333,1.05786163522012,"m"
"22","croz","1213","m12",263.333333333333,252.5,0.958860759493672,"m"
"23","croz","1314","m12",296.5,285,0.961214165261383,"m"
"24","croz","1415","m12",285.5,296.5,1.0385288966725,"m"
"25","croz","1516","m12",281.333333333333,263,0.93483412322275,"m"
"26","croz","1617","m12",297.333333333333,331.5,1.11491031390135,"m"
"27","croz","1718","m12",318.5,381.5,1.1978021978022,"m"
"28","croz","0304","m14",19,8,0.421052631578947,"m"
"29","croz","0405","m14",41,33,0.804878048780488,"m"
"30","croz","0506","m14",41,38,0.926829268292683,"m"
"31","croz","0607","m14",44,53.75,1.22159090909091,"m"
"32","croz","0708","m14",42,53,1.26190476190476,"m"
"33","croz","0809","m14",46,50,1.08695652173913,"m"
"34","croz","0910","m14",52.5,43,0.819047619047619,"m"
"35","croz","1112","m14",40.3333333333333,39,0.966942148760331,"m"
"36","croz","1213","m14",43,36,0.837209302325581,"m"
"37","croz","1314","m14",50,47,0.94,"m"
"38","croz","1415","m14",44.5,46,1.03370786516854,"m"
"39","croz","1516","m14",49.5,41,0.828282828282828,"m"
"40","croz","1617","m14",49.3333333333333,64,1.2972972972973,"m"
"41","croz","1718","m14",50,83,1.66,"m"
"42","croz","0304","m14a",45,21,0.466666666666667,"m"
"43","croz","0405","m14a",102,64,0.627450980392157,"m"
"44","croz","0506","m14a",106,107,1.00943396226415,"m"
"45","croz","0607","m14a",105,127.75,1.21666666666667,"m"
"46","croz","0708","m14a",105,119,1.13333333333333,"m"
"47","croz","0809","m14a",117,117,1,"m"
"48","croz","0910","m14a",169.666666666667,108,0.636542239685657,"m"
"49","croz","1112","m14a",137.75,159,1.15426497277677,"m"
"50","croz","1213","m14a",138.666666666667,121,0.872596153846152,"m"
"51","croz","1314","m14a",168,164.666666666667,0.980158730158732,"m"
"52","croz","1415","m14a",159.333333333333,175,1.09832635983264,"m"
"53","croz","1516","m14a",161.666666666667,133,0.822680412371132,"m"
"54","croz","1617","m14a",184.666666666667,181.5,0.982851985559567,"m"
"55","croz","1718","m14a",210,216.5,1.03095238095238,"m"
"56","croz","0304","m15",36,16,0.444444444444444,"m"
"57","croz","0405","m15-17",431,371,0.860788863109049,"m"
"58","croz","0506","m15-17",515,471,0.914563106796117,"m"
"59","croz","0607","m15-17",491,581.25,1.18380855397149,"m"
"60","croz","0708","m15-17",499,550.333333333333,1.10287241148965,"m"
"61","croz","0809","m15-17",475,591,1.24421052631579,"m"
"62","croz","0203","m16-22",103,152,1.47572815533981,"m"
"63","croz","0304","m16-22",63,29,0.46031746031746,"m"
"64","croz","0405","m16-22",133,117,0.879699248120301,"m"
"65","croz","0506","m16-22",129,147,1.13953488372093,"m"
"66","croz","0607","m16-22",136,166.5,1.22426470588235,"m"
"67","croz","0708","m16-22",135.666666666667,147,1.08353808353808,"m"
"68","croz","0809","m16-22",148,143,0.966216216216216,"m"
"69","croz","0910","m16-22",140.333333333333,132,0.940617577197152,"m"
"70","croz","1112","m16-22",162.75,187,1.14900153609831,"m"
"71","croz","1213","m16-22",141.333333333333,123,0.870283018867927,"m"
"72","croz","1314","m16-22",148,147.333333333333,0.995495495495493,"m"
"73","croz","1415","m16-22",148.25,160,1.07925801011804,"m"
"74","croz","1516","m16-22",153,134.5,0.879084967320261,"m"
"75","croz","1617","m16-22",144,160.5,1.11458333333333,"m"
"76","croz","1718","m16-22",163.5,183.5,1.12232415902141,"m"
"77","croz","0405","m18",315,277,0.879365079365079,"m"
"78","croz","0506","m18",342,325,0.950292397660819,"m"
"79","croz","0607","m18",333,417.5,1.25375375375375,"m"
"80","croz","0708","m18",325.5,349.333333333333,1.07322068612391,"m"
"81","croz","0809","m18",406,378,0.931034482758621,"m"
"82","croz","0910","m18",343.666666666667,336,0.977691561590688,"m"
"83","croz","0203","m19",135,160,1.18518518518519,"m"
"84","croz","0304","m19",91,37,0.406593406593407,"m"
"85","croz","0405","m19",183,164,0.896174863387978,"m"
"86","croz","0506","m19",180,190,1.05555555555556,"m"
"87","croz","0607","m19",159,186.25,1.17138364779874,"m"
"88","croz","0708","m19",165.333333333333,186.666666666667,1.12903225806452,"m"
"89","croz","0809","m19",196,184,0.938775510204082,"m"
"90","croz","0910","m19",172.666666666667,163,0.944015444015442,"m"
"91","croz","1112","m19",164.25,208,1.26636225266362,"m"
"92","croz","1213","m19",165.333333333333,173.5,1.04939516129032,"m"
