"subcol","active_ct","ch_ct","col","prod","area_name","season"
"10n",28,37,"royds",1.32142857142857,NA,"1415"
"10n",35,20,"royds",0.571428571428571,NA,"1516"
"10n",22,8,"royds",0.363636363636364,NA,"1617"
"10n",29,30,"royds",1.03448275862069,NA,"1718"
"10s",164,198,"royds",1.20731707317073,NA,"1415"
"10s",197,160,"royds",0.812182741116751,NA,"1516"
"10s",188,67,"royds",0.356382978723404,NA,"1617"
"10s",182,157,"royds",0.862637362637363,NA,"1718"
"11-12",NA,520,"royds",NA,NA,"1718"
"13",8,11,"royds",1.375,NA,"1415"
"13",14,11,"royds",0.785714285714286,NA,"1516"
"13",70,6,"royds",0.0857142857142857,NA,"1617"
"13",16,13,"royds",0.8125,NA,"1718"
"14a-b",40,25,"royds",0.625,NA,"1415"
"14a-b",38,22,"royds",0.578947368421053,NA,"1516"
"14a-b",28,1,"royds",0.0357142857142857,NA,"1617"
"14a-b",17,7,"royds",0.411764705882353,NA,"1718"
"19",47,42,"royds",0.893617021276596,NA,"1415"
"19",45,44,"royds",0.977777777777778,NA,"1516"
"19",55,28,"royds",0.509090909090909,NA,"1617"
"19",65,51,"royds",0.784615384615385,NA,"1718"
"1a",76,87,"royds",1.14473684210526,NA,"1415"
"1a",82,64,"royds",0.780487804878049,NA,"1516"
"1a",66,33,"royds",0.5,NA,"1617"
"1a",68,68,"royds",1,NA,"1718"
"1b",7,1,"royds",0.142857142857143,NA,"1415"
"1b",6,0,"royds",0,NA,"1516"
"1b",3,0,"royds",0,NA,"1617"
"1b",3,0,"royds",0,NA,"1718"
"1c",37,29,"royds",0.783783783783784,NA,"1415"
"1c",48,22,"royds",0.458333333333333,NA,"1516"
"1c",31,6,"royds",0.193548387096774,NA,"1617"
"1c",29,18,"royds",0.620689655172414,NA,"1718"
"2",93,102,"royds",1.09677419354839,NA,"1415"
"2",90,76,"royds",0.844444444444444,NA,"1516"
"2",73,27,"royds",0.36986301369863,NA,"1617"
"2",84,77,"royds",0.916666666666667,NA,"1718"
"20a",14,22,"royds",1.57142857142857,NA,"1415"
"20a",20,14,"royds",0.7,NA,"1516"
"20a",19,9,"royds",0.473684210526316,NA,"1617"
"20a",13,15,"royds",1.15384615384615,NA,"1718"
"20b",141,147,"royds",1.04255319148936,NA,"1415"
"20b",157,110,"royds",0.700636942675159,NA,"1516"
"20b",153,31,"royds",0.202614379084967,NA,"1617"
"20b",162,116,"royds",0.716049382716049,NA,"1718"
"21",263,312,"royds",1.18631178707224,NA,"1415"
"21",326,251,"royds",0.769938650306748,NA,"1516"
"21",277,161,"royds",0.581227436823105,NA,"1617"
"21",398,373,"royds",0.937185929648241,NA,"1718"
"23",44,59,"royds",1.34090909090909,NA,"1415"
"23",57,47,"royds",0.824561403508772,NA,"1516"
"23",43,27,"royds",0.627906976744186,NA,"1617"
"23",43,40,"royds",0.930232558139535,NA,"1718"
"3a",53,54,"royds",1.0188679245283,NA,"1415"
"3a",50,36,"royds",0.72,NA,"1516"
"3a",45,17,"royds",0.377777777777778,NA,"1617"
"3a",38,34,"royds",0.894736842105263,NA,"1718"
"3b",14,7,"royds",0.5,NA,"1415"
"3b",8,1,"royds",0.125,NA,"1516"
"3b",5,0,"royds",0,NA,"1617"
"3b",0,NA,"royds",NA,NA,"1718"
"3c",15,12,"royds",0.8,NA,"1415"
"3c",13,13,"royds",1,NA,"1516"
"3c",11,4,"royds",0.363636363636364,NA,"1617"
"3c",15,11,"royds",0.733333333333333,NA,"1718"
"4",22,6,"royds",0.272727272727273,NA,"1415"
"4",15,8,"royds",0.533333333333333,NA,"1516"
"4",9,0,"royds",0,NA,"1617"
"4",8,0,"royds",0,NA,"1718"
"5",52,46,"royds",0.884615384615385,NA,"1415"
"5",61,41,"royds",0.672131147540984,NA,"1516"
"5",53,3,"royds",0.0566037735849057,NA,"1617"
"5",37,21,"royds",0.567567567567568,NA,"1718"
"6",156,205,"royds",1.31410256410256,NA,"1415"
"6",171,184,"royds",1.07602339181287,NA,"1516"
"6",144,81,"royds",0.5625,NA,"1617"
"6",172,162,"royds",0.941860465116279,NA,"1718"
"8",3,1,"royds",0.333333333333333,NA,"1415"
"9n",73,78,"royds",1.06849315068493,NA,"1415"
"9n",60,80,"royds",1.33333333333333,NA,"1516"
"9n",75,32,"royds",0.426666666666667,NA,"1617"
"9n",88,91,"royds",1.03409090909091,NA,"1718"
"9s",53,69,"royds",1.30188679245283,NA,"1415"
"9s",93,57,"royds",0.612903225806452,NA,"1516"
"9s",53,33,"royds",0.622641509433962,NA,"1617"
"9s",57,60,"royds",1.05263157894737,NA,"1718"
"wb2",40,49,"royds",1.225,NA,"1415"
"wb2",44,52,"royds",1.18181818181818,NA,"1516"
"wb2",37,12,"royds",0.324324324324324,NA,"1617"
"wb2",50,42,"royds",0.84,NA,"1718"
