Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,1a,1,18,72.000000000000000,247.620145161946620
,1c,2,3,12.000000000000000,206.491760253906250
,1b,3,1,4.000000000000000,215.027954101562500
,2,4,14,56.000000000000000,218.902724129813070
,3c,5,2,8.000000000000000,204.278495788574220
,4,6,4,16.000000000000000,263.479733824729920
,14a-b,7,4,16.000000000000000,231.308902740478520
,5,8,10,40.000000000000000,266.939338684082030
,6,9,28,112.000000000000000,301.562654767717620
,23,10,7,28.000000000000000,282.154105050223220
,21,11,63,252.000000000000000,272.858352055625290
,9s,12,6,24.000000000000000,116.882019678751630
,9n,13,13,52.000000000000000,68.427254603459289
,10n,14,2,8.000000000000000,47.510114669799805
, ,15,4,16.000000000000000,78.650889396667480
,19,16,7,28.000000000000000,23.749625069754465
,wb2,17,6,24.000000000000000,27.176028569539387
,10s,18,35,140.000000000000000,26.229709870474679
,11-12,19,150,600.000000000000000,187.574407417774210
,20a,20,1,4.000000000000000,9.886613845825195
,20b,21,31,124.000000000000000,174.408334960860600
,13,22,1,4.000000000000000,278.857971191406250
,3a,23,6,24.000000000000000,164.678044637044280
,3b,24,3,12.000000000000000,183.025751749674470
