Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,1a,1,18,72.000000000000000,-40.884657118055557
,1c,2,3,12.000000000000000,-38.828125000000000
,1b,3,1,4.000000000000000,-44.546875000000000
,2,4,14,56.000000000000000,-41.724539620535715
,3c,5,2,8.000000000000000,-45.649902343750000
,4,6,4,16.000000000000000,-42.710449218750000
,14a-b,7,4,16.000000000000000,-42.365478515625000
,5,8,10,40.000000000000000,-40.770312500000003
,6,9,28,112.000000000000000,-37.364362444196431
,23,10,7,28.000000000000000,-37.306919642857146
,21,11,63,252.000000000000000,-39.612444196428569
,9s,12,6,24.000000000000000,-34.824218750000000
,9n,13,13,52.000000000000000,-36.846529447115387
,10n,14,2,8.000000000000000,-40.535156250000000
, ,15,4,16.000000000000000,-38.868896484375000
,19,16,7,28.000000000000000,-41.322684151785715
,wb2,17,6,24.000000000000000,-40.625488281250000
,10s,18,35,140.000000000000000,-37.103822544642860
,11-12,19,150,600.000000000000000,-29.906295572916665
,20a,20,1,4.000000000000000,-42.618164062500000
,20b,21,31,124.000000000000000,-36.454952116935480
,13,22,1,4.000000000000000,-35.162109375000000
,3a,23,6,24.000000000000000,-40.746093750000000
,3b,24,3,12.000000000000000,-43.535807291666664
