Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,1a,1,18,72.000000000000000,9.500000000000000
,1c,2,3,12.000000000000000,18.666666666666668
,1b,3,1,4.000000000000000,1.000000000000000
,2,4,14,56.000000000000000,5.857142857142857
,3c,5,2,8.000000000000000,8.500000000000000
,4,6,4,16.000000000000000,0.750000000000000
,14a-b,7,4,16.000000000000000,4.250000000000000
,5,8,10,40.000000000000000,12.000000000000000
,6,9,28,112.000000000000000,5.678571428571429
,23,10,7,28.000000000000000,12.000000000000000
,21,11,63,252.000000000000000,21.650793650793652
,9s,12,6,24.000000000000000,1.000000000000000
,9n,13,13,52.000000000000000,3.692307692307693
,10n,14,2,8.000000000000000,45.500000000000000
, ,15,4,16.000000000000000,76.000000000000000
,19,16,7,28.000000000000000,31.142857142857142
,wb2,17,6,24.000000000000000,136.333333333333340
,10s,18,35,140.000000000000000,8.400000000000000
,11-12,19,150,600.000000000000000,8.953333333333333
,20a,20,1,4.000000000000000,22.000000000000000
,20b,21,31,124.000000000000000,18.419354838709676
,13,22,1,4.000000000000000,27.000000000000000
,3a,23,6,24.000000000000000,3.666666666666667
,3b,24,3,12.000000000000000,17.333333333333332
