Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,1a,1,18,72.000000000000000,16.838924249013264
,1c,2,3,12.000000000000000,7.094352086385091
,1b,3,1,4.000000000000000,49.126083374023438
,2,4,14,56.000000000000000,13.074726309095110
,3c,5,2,8.000000000000000,18.879245758056641
,4,6,4,16.000000000000000,11.155971050262451
,14a-b,7,4,16.000000000000000,2.694048941135407
,5,8,10,40.000000000000000,11.562810659408569
,6,9,28,112.000000000000000,8.298587305205208
,23,10,7,28.000000000000000,7.603131021772112
,21,11,63,252.000000000000000,11.929639661122883
,9s,12,6,24.000000000000000,4.229907691478729
,9n,13,13,52.000000000000000,11.020740655752329
,10n,14,2,8.000000000000000,6.124904394149780
, ,15,4,16.000000000000000,8.870500445365906
,19,16,7,28.000000000000000,6.749655314854214
,wb2,17,6,24.000000000000000,6.745549440383911
,10s,18,35,140.000000000000000,16.549127197265626
,11-12,19,150,600.000000000000000,4.790773679266374
,20a,20,1,4.000000000000000,6.426298618316650
,20b,21,31,124.000000000000000,21.926332719864384
,13,22,1,4.000000000000000,7.016898632049561
,3a,23,6,24.000000000000000,9.469567537307739
,3b,24,3,12.000000000000000,12.663329760233561
