Rowid_,SUBCOL,ZONE_CODE,COUNT,AREA,MEAN
,1a,1,18,72.000000000000000,0.128161110397842
,1c,2,4,16.000000000000000,0.062299998477101
,1b,3,1,4.000000000000000,0.337700009346008
,2,4,17,68.000000000000000,0.087905881597715
,3c,5,3,12.000000000000000,0.122466663519541
,4,6,4,16.000000000000000,0.131474999710917
,14a-b,7,4,16.000000000000000,0.123725000768900
,5,8,9,36.000000000000000,0.142122222317590
,6,9,32,128.000000000000000,0.163015624973923
,23,10,7,28.000000000000000,0.172628573008946
,21,11,64,256.000000000000000,0.224537499947473
,9s,12,5,20.000000000000000,0.181340000033379
,9n,13,9,36.000000000000000,0.152744445535872
,10n,14,5,20.000000000000000,0.204760000109673
, ,15,4,16.000000000000000,0.260649997740984
,19,16,6,24.000000000000000,0.284783328572909
,wb2,17,7,28.000000000000000,0.275057145527431
,10s,18,33,132.000000000000000,0.246787877696933
,11-12,19,161,644.000000000000000,0.119524844430433
,20a,20,1,4.000000000000000,0.250999987125397
,20b,21,29,116.000000000000000,0.424310347129559
,13,22,1,4.000000000000000,0.164599999785423
,3a,23,6,24.000000000000000,0.082400000343720
,3b,24,2,8.000000000000000,0.104350000619888
