"subcol","active_ct","ch_ct","col","prod","area_name","season","FID","area","perimeter","pa_ratio","flood_risk","mean_aspect","mean_slope","mean_elev","adjust_mean_elev","mean_wind","mean_solar","skua50"
"10n",28,37,"royds",1.32142857142857,NA,"1415",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10n",35,20,"royds",0.571428571428571,NA,"1516",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10n",22,8,"royds",0.363636363636364,NA,"1617",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10n",29,30,"royds",1.03448275862069,NA,"1718",13,17.1012993,19.4971008,1.14009475708,NA,47.5101146698,6.12490439415,-40.53515625,6.46484375,40.5,195978.71875,1
"10s",164,198,"royds",1.20731707317073,NA,"1415",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"10s",197,160,"royds",0.812182741116751,NA,"1516",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"10s",188,67,"royds",0.356382978723404,NA,"1617",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"10s",182,157,"royds",0.862637362637363,NA,"1718",18,127.3059998,78.6953964,0.618159353733,NA,26.221649334348,16.5491271973,-37.1038225446,9.8961774554,5.25714285714,170423.623214,0
"11-12",NA,520,"royds",NA,NA,"1718",19,614.9299927,446.2869873,0.725752532482,NA,358.908252768297,4.79077367927,-29.9062955729,17.0937044271,64.5733333333,205104.874271,1
"13",8,11,"royds",1.375,NA,"1415",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"13",14,11,"royds",0.785714285714286,NA,"1516",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"13",70,6,"royds",0.0857142857142857,NA,"1617",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"13",16,13,"royds",0.8125,NA,"1718",27,3.66572,9.25453,2.52461457253,NA,NA,NA,NA,NA,NA,NA,1
"14a-b",40,25,"royds",0.625,NA,"1415",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
"14a-b",38,22,"royds",0.578947368421053,NA,"1516",6,19.7672005,34.4425011,1.74240660667,NA,231.323878752856,2.69404894114,-42.3654785156,4.6345214844,76.25,210085.144531,1
