"subcol","active_ct","ch_ct","col","prod","area_name","season","FID","area","perimeter","pa_ratio","flood_risk","flow_acc","flow_acc_log1p","flow_acc_log","mean_aspect","mean_slope","mean_elev","adjust_mean_elev","mean_windshelt100m","mean_windshelt300m","skua50"
"10n",28,37,"royds",1.32142857142857,NA,"1415",13,17.1012993,19.4971008,1.14009475708,NA,0,0,-Inf,47.5101146697998,6.12490439414978,-40.53515625,5.46484375,0.251050002872944,0.251050002872944,1
"10n",35,20,"royds",0.571428571428571,NA,"1516",13,17.1012993,19.4971008,1.14009475708,NA,0,0,-Inf,47.5101146697998,6.12490439414978,-40.53515625,5.46484375,0.251050002872944,0.251050002872944,1
"10n",22,8,"royds",0.363636363636364,NA,"1617",13,17.1012993,19.4971008,1.14009475708,NA,0,0,-Inf,47.5101146697998,6.12490439414978,-40.53515625,5.46484375,0.251050002872944,0.251050002872944,1
"10n",29,30,"royds",1.03448275862069,NA,"1718",13,17.1012993,19.4971008,1.14009475708,NA,0,0,-Inf,47.5101146697998,6.12490439414978,-40.53515625,5.46484375,0.251050002872944,0.251050002872944,1
"10s",164,198,"royds",1.20731707317073,NA,"1415",18,127.3059998,78.6953964,0.618159353733,NA,0,0,-Inf,26.2297098704747,16.5491271972656,-37.1038225446429,8.89617745535714,0.320822855404445,0.320822855404445,0
"10s",197,160,"royds",0.812182741116751,NA,"1516",18,127.3059998,78.6953964,0.618159353733,NA,0,0,-Inf,26.2297098704747,16.5491271972656,-37.1038225446429,8.89617745535714,0.320822855404445,0.320822855404445,0
"10s",188,67,"royds",0.356382978723404,NA,"1617",18,127.3059998,78.6953964,0.618159353733,NA,0,0,-Inf,26.2297098704747,16.5491271972656,-37.1038225446429,8.89617745535714,0.320822855404445,0.320822855404445,0
"10s",182,157,"royds",0.862637362637363,NA,"1718",18,127.3059998,78.6953964,0.618159353733,NA,0,0,-Inf,26.2297098704747,16.5491271972656,-37.1038225446429,8.89617745535714,0.320822855404445,0.320822855404445,0
"11-12",NA,520,"royds",NA,NA,"1718",19,614.9299927,446.2869873,0.725752532482,NA,0,0,-Inf,187.574407417774,4.79077367926637,-29.9062955729167,16.0937044270833,0.030540666603871,0.038040666529366,1
"13",8,11,"royds",1.375,NA,"1415",27,3.66572,9.25453,2.52461457253,NA,0,0,-Inf,278.857971191406,7.01689863204956,-35.162109375,10.837890625,0.031300000846386,0.031300000846386,1
"13",14,11,"royds",0.785714285714286,NA,"1516",27,3.66572,9.25453,2.52461457253,NA,0,0,-Inf,278.857971191406,7.01689863204956,-35.162109375,10.837890625,0.031300000846386,0.031300000846386,1
"13",70,6,"royds",0.0857142857142857,NA,"1617",27,3.66572,9.25453,2.52461457253,NA,0,0,-Inf,278.857971191406,7.01689863204956,-35.162109375,10.837890625,0.031300000846386,0.031300000846386,1
"13",16,13,"royds",0.8125,NA,"1718",27,3.66572,9.25453,2.52461457253,NA,0,0,-Inf,278.857971191406,7.01689863204956,-35.162109375,10.837890625,0.031300000846386,0.031300000846386,1
"14a-b",40,25,"royds",0.625,NA,"1415",6,19.7672005,34.4425011,1.74240660667,NA,0,0,-Inf,231.308902740479,2.69404894113541,-42.365478515625,3.634521484375,0.105599999427795,0.105599999427795,1
"14a-b",38,22,"royds",0.578947368421053,NA,"1516",6,19.7672005,34.4425011,1.74240660667,NA,0,0,-Inf,231.308902740479,2.69404894113541,-42.365478515625,3.634521484375,0.105599999427795,0.105599999427795,1
"14a-b",28,1,"royds",0.0357142857142857,NA,"1617",6,19.7672005,34.4425011,1.74240660667,NA,0,0,-Inf,231.308902740479,2.69404894113541,-42.365478515625,3.634521484375,0.105599999427795,0.105599999427795,1
"14a-b",17,7,"royds",0.411764705882353,NA,"1718",6,19.7672005,34.4425011,1.74240660667,NA,0,0,-Inf,231.308902740479,2.69404894113541,-42.365478515625,3.634521484375,0.105599999427795,0.105599999427795,1
"19",47,42,"royds",0.893617021276596,NA,"1415",16,27.9501991,32.9219017,1.17787718773,NA,0,0,-Inf,23.7496250697545,6.74965531485421,-41.3226841517857,4.67731584821428,0.29685714840889,0.29685714840889,1
"19",45,44,"royds",0.977777777777778,NA,"1516",16,27.9501991,32.9219017,1.17787718773,NA,0,0,-Inf,23.7496250697545,6.74965531485421,-41.3226841517857,4.67731584821428,0.29685714840889,0.29685714840889,1
"19",55,28,"royds",0.509090909090909,NA,"1617",16,27.9501991,32.9219017,1.17787718773,NA,0,0,-Inf,23.7496250697545,6.74965531485421,-41.3226841517857,4.67731584821428,0.29685714840889,0.29685714840889,1
"19",65,51,"royds",0.784615384615385,NA,"1718",16,27.9501991,32.9219017,1.17787718773,NA,0,0,-Inf,23.7496250697545,6.74965531485421,-41.3226841517857,4.67731584821428,0.29685714840889,0.29685714840889,1
"1a",76,87,"royds",1.14473684210526,NA,"1415",0,68.1988983,47.5096016,0.6966329813,11.0745403671,0,0,-Inf,247.620145161947,16.8389242490133,-40.8846571180556,5.11534288194444,-0.029100000405581,-0.00596666681425,0
"1a",82,64,"royds",0.780487804878049,NA,"1516",0,68.1988983,47.5096016,0.6966329813,11.0745403671,0,0,-Inf,247.620145161947,16.8389242490133,-40.8846571180556,5.11534288194444,-0.029100000405581,-0.00596666681425,0
