OID_,royd_subco,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
,1a,1,18,72.000000000000000,207802.093750000000000,220086.937500000000000,12284.843750000000000,215322.356770999990000,3748.058021469999900,3875802.421879999800000
,1c,2,3,12.000000000000000,216012.765625000000000,217771.859375000000000,1759.093750000000000,217009.166667000010000,736.915822480999960,651027.500000000000000
,1b,3,1,4.000000000000000,232304.718750000000000,232304.718750000000000,0.000000000000000,232304.718750000000000,0.000000000000000,232304.718750000000000
,2,4,14,56.000000000000000,219000.765625000000000,229525.312500000000000,10524.546875000000000,223389.410714000000000,3336.197348920000000,3127451.750000000000000
,3c,5,2,8.000000000000000,230949.265625000000000,231479.890625000000000,530.625000000000000,231214.578125000000000,265.312500000000000,462429.156250000000000
,4,6,4,16.000000000000000,179991.203125000000000,187020.593750000000000,7029.390625000000000,184021.664063000000000,2574.994819820000000,736086.656250000000000
,14a-b,7,4,16.000000000000000,208520.734375000000000,212911.546875000000000,4390.812500000000000,210085.144531000000000,1686.374011800000100,840340.578125000000000
,5,8,10,40.000000000000000,205031.906250000000000,214481.531250000000000,9449.625000000000000,209999.229687000010000,3448.363633580000200,2099992.296879999800000
,6,9,28,112.000000000000000,195933.562500000000000,203602.343750000000000,7668.781250000000000,200582.958705000000000,2385.261926839999900,5616322.843750000000000
,23,10,7,28.000000000000000,204760.031250000000000,207029.187500000000000,2269.156250000000000,205739.821429000000000,744.736377823000000,1440178.750000000000000
,21,11,63,252.000000000000000,191535.921875000000000,229479.390625000000000,37943.468750000000000,202235.727927000000000,5694.895160400000300,12740850.859400000000000
,9s,12,6,24.000000000000000,194544.500000000000000,208996.703125000000000,14452.203125000000000,202271.268229000010000,5082.117890890000100,1213627.609380000000000
,9n,13,13,52.000000000000000,189342.296875000000000,193509.984375000000000,4167.687500000000000,191883.519231000010000,1268.617575720000100,2494485.750000000000000
,10n,14,2,8.000000000000000,195807.390625000000000,196150.046875000000000,342.656250000000000,195978.718750000000000,171.328125000000000,391957.437500000000000
, ,15,4,16.000000000000000,181025.828125000000000,210136.171875000000000,29110.343750000000000,192888.832031000000000,12242.627878699999000,771555.328125000000000
,19,16,7,28.000000000000000,188679.671875000000000,196678.859375000000000,7999.187500000000000,192590.205357000000000,2472.135730300000000,1348131.437500000000000
,wb2,17,6,24.000000000000000,189530.875000000000000,194931.187500000000000,5400.312500000000000,192728.031250000000000,1736.880506040000000,1156368.187500000000000
,10s,18,35,140.000000000000000,165836.421875000000000,176898.609375000000000,11062.187500000000000,170423.623213999990000,2684.868232029999900,5964826.812500000000000
,11-12,19,150,600.000000000000000,185467.812500000000000,226297.015625000000000,40829.203125000000000,205104.874271000010000,7566.128845330000300,30765731.140600000000000
,20a,20,1,4.000000000000000,192922.171875000000000,192922.171875000000000,0.000000000000000,192922.171875000000000,0.000000000000000,192922.171875000000000
,20b,21,31,124.000000000000000,143464.281250000000000,171100.218750000000000,27635.937500000000000,155671.644153000000000,6210.681931619999900,4825820.968750000000000
,3a,22,6,24.000000000000000,215211.609375000000000,223397.609375000000000,8186.000000000000000,219415.692707999990000,2657.104733250000200,1316494.156250000000000
,3b,23,3,12.000000000000000,224391.796875000000000,225106.890625000000000,715.093750000000000,224847.067707999990000,322.996061806999990,674541.203125000000000
