season,subID,occupied,active,chicks,prod
1415,c51,138,133,154,1.157894737
1415,c46,121,111,123,1.108108108
1415,c6,274,248,114,0.459677419
1415,n28,53,50,45,0.9
1415,n22,45,42,39,0.928571429
1415,b_,116,86,55,0.639534884
1415,n12,102,95,96,1.010526316
1415,l13,NA,775,713,0.92
1415,l23,16,16,11,0.6875
1415,l17,NA,NA,289,NA
1415,p21,181,170,184,1.082352941
1415,p22,84,79,75,0.949367089
1415,p39,79,92,100,1.086956522
1415,p42,NA,154,156,1.012987013
1415,p44,NA,322,332,1.031055901
1415,hk1,NA,NA,258,NA
1415,g23,23,21,22,1.047619048
1415,g32,68,66,80,1.212121212
1415,g35,496,465,522,1.122580645
1415,g23+,10,10,15,1.5
1415,g43,66,61,68,1.114754098
1415,g54,54,50,69,1.38
1415,f5,272,257,268,1.042801556
1415,f23,78,70,86,1.228571429
1415,f28,NA,NA,1220,NA
1415,t14,52,49,53,1.081632653
1415,t16,282,273,291,1.065934066
1415,s38,196,182,183,1.005494505
1415,s39,79,74,86,1.162162162
1415,s3,3,3,3,1
1415,s5,89,86,92,1.069767442
1415,d70,49,47,62,1.319148936
1415,d22,55,55,61,1.109090909
1415,d24,170,159,191,1.201257862
1415,d35,57,54,57,1.055555556
1415,l23+,13,12,8,0.666666667
1415,g46,30,29,33,1.137931034
1415,d10,7,7,5,0.714285714
1415,d11,9,8,8,1
1516,b_,129,110,69.5,0.631818182
1516,c46,112.5,102.5,97,0.946341463
1516,c51,136,126.5,130,1.027667984
1516,c6,119.5,115.5,117.5,1.017316017
1516,d10,7,6,4,0.666666667
1516,d11,6,5,3,0.6
1516,d22,58,49.33333333,36,0.72972973
1516,d24,180.5,167,157.5,0.943113772
1516,d35,55.5,48,49.5,1.03125
1516,d70,51,46.33333333,38,0.820143885
1516,f23,93,87.5,77,0.88
1516,f5,226,207,163,0.787439614
1516,g23,24.5,21,17,0.80952381
1516,g23+,12,10,7,0.7
1516,g32,59.66666667,56.33333333,49.5,0.878698225
1516,g35,482,448.5,408,0.909698997
1516,g43,73,69,71,1.028985507
1516,g46,19.66666667,16.33333333,15,0.918367347
1516,g54,40,37.5,47.5,1.266666667
1516,l13,789,710,690.5,0.972535211
1516,l17,260.3333333,230.6666667,215.5,0.934248555
1516,l23,8,7,6,0.857142857
1516,l23+,12,10,5,0.5
1516,n12,96,86,81.5,0.947674419
1516,n22,42,40,49.5,1.2375
1516,n28,51.5,47,32,0.680851064
1516,p21,173.3333333,162.3333333,154,0.948665298
1516,p22,73,67.5,70,1.037037037
1516,p39,83.5,77.5,79,1.019354839
1516,p42,161,150.6666667,146.5,0.972345133
1516,p44,346.6666667,330.6666667,282,0.852822581
1516,s3,3,3,6,2
1516,s38,176,159,154,0.968553459
1516,s39,66,63,63,1
1516,s5,95.5,91.5,84,0.918032787
1516,t14,12,10,7,0.7
1516,t14a,57.5,52.5,46.5,0.885714286
1516,t16,166,154.5,149,0.964401294
1516,t5,200.6666667,179.3333333,187,1.042750929
