"DATE","WINDMPH","GUSTMPH","DIR","LOWTEMP","NOTES","season"
2014-11-28,3,24,"N",-7.5,"snowing much of last evening","1415"
2014-11-28,1,18,NA,-8.6,"Beautiful mostly clear evening","1415"
2014-11-29,25,30,"W",-10.4,NA,"1415"
2014-11-29,6,53,"WSW",-5.8,NA,"1415"
2014-11-30,6,35,"NNE",-8.6,NA,"1415"
2014-11-30,1,28,"N",-8.2,NA,"1415"
2014-12-01,3,10,"NW",-8.1,NA,"1415"
2014-12-01,2,13,"N",-6,NA,"1415"
2014-12-02,6,9,"NNW",-10.6,NA,"1415"
2014-12-02,0,14,"NNW",-7.9,NA,"1415"
2014-12-03,0,8,"N",-11.7,NA,"1415"
2014-12-03,22,31,"SW",-6.2,NA,"1415"
2014-12-04,5,51,"NNW",-9.9,"ice blew out last night","1415"
2014-12-04,1,13,"NW",-8.2,NA,"1415"
2014-12-05,0,8,"NW",-11,NA,"1415"
2014-12-05,1,12,"NNW",-11.6,NA,"1415"
2014-12-06,3,6,"NNE",-13.9,NA,"1415"
2014-12-06,1,14,"NNW",-8.6,NA,"1415"
2014-12-07,4,19,"N",-11.8,NA,"1415"
2014-12-07,5,10,"NNW",-7.8,NA,"1415"
2014-12-07,4,30,"N",-8,NA,"1415"
2014-12-08,3,26,"N",-4.4,"lenticular clouds over Terror,  plus weird black hole in the sky.","1415"
2014-12-09,1,18,"N",-5.7,NA,"1415"
2014-12-09,2,10,"N",-2.4,NA,"1415"
2014-12-10,6,24,"NE",-7.7,NA,"1415"
2014-12-10,3,22,"WNW",-6.7,NA,"1415"
2014-12-11,4,12,"S",-8.6,NA,"1415"
2014-12-11,7,14,"NE",-5.7,NA,"1415"
2014-12-12,4,11,"NNW",-8.9,NA,"1415"
2014-12-12,3,14,"NW",-4.6,NA,"1415"
2014-12-13,10,16,"NNW",-6.8,NA,"1415"
2014-12-13,4,19,"NNW",-4.2,NA,"1415"
2014-12-14,5,12,"E",-5.1,"some smowflakes since yersterday evening","1415"
2014-12-14,1,11,"NW",-4.2,NA,"1415"
2014-12-15,4,9,"E",-4.6,NA,"1415"
2014-12-15,1,15,"NE",-4.1,NA,"1415"
2014-12-16,4,10,"NNW",-5.2,NA,"1415"
2014-12-16,2,20,"W",-4.8,NA,"1415"
2014-12-17,3,10,"NNE",-8.5,NA,"1415"
2014-12-17,3,12,"SE",-5.8,NA,"1415"
2014-12-18,7,10,"NW",-7.4,NA,"1415"
2014-12-18,4,18,"W",-6,NA,"1415"
2014-12-19,11,13,"NW",-7.2,NA,"1415"
2014-12-19,0,20,"W",-2.8,NA,"1415"
2014-12-20,10,18,"SE",-6.1,NA,"1415"
2014-12-20,0,24,NA,-6.4,NA,"1415"
